Year,timeseries,Value
2010,flowing water with good ecological status for total phosphorous,32.2
2011,flowing water with good ecological status for total phosphorous,37.7
2012,flowing water with good ecological status for total phosphorous,35.5
2013,flowing water with good ecological status for total phosphorous,36.2
2014,flowing water with good ecological status for total phosphorous,34.8
2015,flowing water with good ecological status for total phosphorous,30.8
2016,flowing water with good ecological status for total phosphorous,37.3
2017,flowing water with good ecological status for total phosphorous,35.3
2018,flowing water with good ecological status for total phosphorous,44.1
2019,flowing water with good ecological status for total phosphorous,42.6
2020,flowing water with good ecological status for total phosphorous,41.8
2021,flowing water with good ecological status for total phosphorous,43.2
2022,flowing water with good ecological status for total phosphorous,
2010,groundwater mesuring points below the threshold value for nitrate,81.7
2011,groundwater mesuring points below the threshold value for nitrate,82.0
2012,groundwater mesuring points below the threshold value for nitrate,81.0
2013,groundwater mesuring points below the threshold value for nitrate,81.4
2014,groundwater mesuring points below the threshold value for nitrate,81.8
2015,groundwater mesuring points below the threshold value for nitrate,81.0
2016,groundwater mesuring points below the threshold value for nitrate,81.8
2017,groundwater mesuring points below the threshold value for nitrate,83.1
2018,groundwater mesuring points below the threshold value for nitrate,82.7
2019,groundwater mesuring points below the threshold value for nitrate,84.2
2020,groundwater mesuring points below the threshold value for nitrate,84.1
2021,groundwater mesuring points below the threshold value for nitrate,84.0
2022,groundwater mesuring points below the threshold value for nitrate,84.0
