Year,Politikbereiche,Value
2018/2019,,2
2020/2021,,3
2018/2019,Bereich 1. Rechte von Migranten,3
2020/2021,Bereich 1. Rechte von Migranten,3
2018/2019,Bereich 2. Gesamtheitliche/ Evidenzbasierte Politik,3
2020/2021,Bereich 2. Gesamtheitliche/ Evidenzbasierte Politik,3
2018/2019,Bereich 3. Zusammenarbeit und Partnerschaften,4
2020/2021,Bereich 3. Zusammenarbeit und Partnerschaften,4
2018/2019,Bereich 4. Sozioökonomisches Wohlbefinden,3
2020/2021,Bereich 4. Sozioökonomisches Wohlbefinden,4
2018/2019,Bereich 5. Mobilitätsdimensionen von Krisen,1
2020/2021,Bereich 5. Mobilitätsdimensionen von Krisen,3
2018/2019,"Bereich 6. Sichere, geordnete und reguläre Migration",4
2020/2021,"Bereich 6. Sichere, geordnete und reguläre Migration",4
