Year,Age group,Sex,Value
2010,,,9.2
2011,,,9.7
2012,,,9.6
2013,,,9.4
2014,,,10.5
2015,,,10.2
2016,,,9.7
2017,,,9.4
2018,,,9.8
2019,,,9.0
2010,17 years and younger,,9.4
2011,17 years and younger,,8.0
2012,17 years and younger,,7.8
2013,17 years and younger,,7.2
2014,17 years and younger,,8.2
2015,17 years and younger,,7.8
2016,17 years and younger,,7.8
2017,17 years and younger,,6.9
2018,17 years and younger,,7.6
2019,17 years and younger,,5.7
2010,18 to under 65 years,,9.8
2011,18 to under 65 years,,10.8
2012,18 to under 65 years,,10.4
2013,18 to under 65 years,,10.5
2014,18 to under 65 years,,11.5
2015,18 to under 65 years,,11.3
2016,18 to under 65 years,,10.4
2017,18 to under 65 years,,10.2
2018,18 to under 65 years,,10.4
2019,18 to under 65 years,,9.6
2010,65 years and older,,7.0
2011,65 years and older,,7.3
2012,65 years and older,,8.4
2013,65 years and older,,8.0
2014,65 years and older,,9.1
2015,65 years and older,,9.0
2016,65 years and older,,9.4
2017,65 years and older,,9.2
2018,65 years and older,,9.7
2019,65 years and older,,9.8
2010,,Female,9.3
2011,,Female,9.9
2012,,Female,10.1
2013,,Female,9.9
2014,,Female,10.7
2015,,Female,10.3
2016,,Female,10.1
2017,,Female,9.6
2018,,Female,10.0
2019,,Female,9.4
2010,,Male,9.0
2011,,Male,9.4
2012,,Male,9.0
2013,,Male,8.9
2014,,Male,10.2
2015,,Male,10.1
2016,,Male,9.3
2017,,Male,9.3
2018,,Male,9.6
2019,,Male,8.5
