Year,Units,type of financial flow,type of official development assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,official development assistance,commitments,,,,915.979
2011,Million EUR,official development assistance,commitments,,,,809.223
2012,Million EUR,official development assistance,commitments,,,,740.52
2013,Million EUR,official development assistance,commitments,,,,835.927
2014,Million EUR,official development assistance,commitments,,,,1115.451
2015,Million EUR,official development assistance,commitments,,,,1578.019
2016,Million EUR,official development assistance,commitments,,,,1278.447
2017,Million EUR,official development assistance,commitments,,,,2141.104
2018,Million EUR,official development assistance,commitments,,,,1733.447
2019,Million EUR,official development assistance,commitments,,,,1873.352
2020,Million EUR,official development assistance,commitments,,,,3043.442
2021,Million EUR,official development assistance,commitments,,,,2889.194
2022,Million EUR,official development assistance,commitments,,,,2922.855
2023,Million EUR,official development assistance,commitments,,,,3486.589
2024,Million EUR,official development assistance,commitments,,,,2512.359
2010,Million EUR,official development assistance,gross disbursements,,,,674.991
2011,Million EUR,official development assistance,gross disbursements,,,,703.802
2012,Million EUR,official development assistance,gross disbursements,,,,743.479
2013,Million EUR,official development assistance,gross disbursements,,,,819.911
2014,Million EUR,official development assistance,gross disbursements,,,,929.041
2015,Million EUR,official development assistance,gross disbursements,,,,1301.967
2016,Million EUR,official development assistance,gross disbursements,,,,1210.381
2017,Million EUR,official development assistance,gross disbursements,,,,1536.772
2018,Million EUR,official development assistance,gross disbursements,,,,1777.038
2019,Million EUR,official development assistance,gross disbursements,,,,1571.422
2020,Million EUR,official development assistance,gross disbursements,,,,2213.092
2021,Million EUR,official development assistance,gross disbursements,,,,2363.1
2022,Million EUR,official development assistance,gross disbursements,,,,2751.262
2023,Million EUR,official development assistance,gross disbursements,,,,2322.643
2024,Million EUR,official development assistance,gross disbursements,,,,3495.474
2010,Million EUR,other official flows,commitments,,,,0.0
2011,Million EUR,other official flows,commitments,,,,0.0
2012,Million EUR,other official flows,commitments,,,,0.0
2013,Million EUR,other official flows,commitments,,,,0.0
2014,Million EUR,other official flows,commitments,,,,0.0
2015,Million EUR,other official flows,commitments,,,,0.0
2016,Million EUR,other official flows,commitments,,,,0.0
2017,Million EUR,other official flows,commitments,,,,0.0
2018,Million EUR,other official flows,commitments,,,,373.855
2019,Million EUR,other official flows,commitments,,,,155.77
2020,Million EUR,other official flows,commitments,,,,182.196
2021,Million EUR,other official flows,commitments,,,,52.668
2022,Million EUR,other official flows,commitments,,,,50.0
2023,Million EUR,other official flows,commitments,,,,0.0
2024,Million EUR,other official flows,commitments,,,,0.0
2010,Million EUR,other official flows,gross disbursements,,,,0.0
2011,Million EUR,other official flows,gross disbursements,,,,0.0
2012,Million EUR,other official flows,gross disbursements,,,,0.0
2013,Million EUR,other official flows,gross disbursements,,,,0.0
2014,Million EUR,other official flows,gross disbursements,,,,0.0
2015,Million EUR,other official flows,gross disbursements,,,,0.0
2016,Million EUR,other official flows,gross disbursements,,,,0.0
2017,Million EUR,other official flows,gross disbursements,,,,0.0
2018,Million EUR,other official flows,gross disbursements,,,,373.855
2019,Million EUR,other official flows,gross disbursements,,,,155.77
2020,Million EUR,other official flows,gross disbursements,,,,182.196
2021,Million EUR,other official flows,gross disbursements,,,,52.668
2022,Million EUR,other official flows,gross disbursements,,,,50.0
2023,Million EUR,other official flows,gross disbursements,,,,0.0
2024,Million EUR,other official flows,gross disbursements,,,,0.0
2010,"Million USD, constant prices (2024)",official development assistance,commitments,,,,1405.173
2011,"Million USD, constant prices (2024)",official development assistance,commitments,,,,1226.298
2012,"Million USD, constant prices (2024)",official development assistance,commitments,,,,1106.311
2013,"Million USD, constant prices (2024)",official development assistance,commitments,,,,1224.397
2014,"Million USD, constant prices (2024)",official development assistance,commitments,,,,1603.408
2015,"Million USD, constant prices (2024)",official development assistance,commitments,,,,2229.462
2016,"Million USD, constant prices (2024)",official development assistance,commitments,,,,1783.725
2017,"Million USD, constant prices (2024)",official development assistance,commitments,,,,2944.007
2018,"Million USD, constant prices (2024)",official development assistance,commitments,,,,2339.682
2019,"Million USD, constant prices (2024)",official development assistance,commitments,,,,2478.61
2020,"Million USD, constant prices (2024)",official development assistance,commitments,,,,3957.389
2021,"Million USD, constant prices (2024)",official development assistance,commitments,,,,3658.377
2022,"Million USD, constant prices (2024)",official development assistance,commitments,,,,3477.692
2023,"Million USD, constant prices (2024)",official development assistance,commitments,,,,3888.109
2024,"Million USD, constant prices (2024)",official development assistance,commitments,,,,2717.239
2010,"Million USD, constant prices (2024)",official development assistance,gross disbursements,,,,1035.482
2011,"Million USD, constant prices (2024)",official development assistance,gross disbursements,,,,1066.543
2012,"Million USD, constant prices (2024)",official development assistance,gross disbursements,,,,1110.732
2013,"Million USD, constant prices (2024)",official development assistance,gross disbursements,,,,1200.938
2014,"Million USD, constant prices (2024)",official development assistance,gross disbursements,,,,1335.452
2015,"Million USD, constant prices (2024)",official development assistance,gross disbursements,,,,1839.449
2016,"Million USD, constant prices (2024)",official development assistance,gross disbursements,,,,1688.757
2017,"Million USD, constant prices (2024)",official development assistance,gross disbursements,,,,2113.054
2018,"Million USD, constant prices (2024)",official development assistance,gross disbursements,,,,2398.518
2019,"Million USD, constant prices (2024)",official development assistance,gross disbursements,,,,2079.13
2020,"Million USD, constant prices (2024)",official development assistance,gross disbursements,,,,2877.684
2021,"Million USD, constant prices (2024)",official development assistance,gross disbursements,,,,2992.223
2022,"Million USD, constant prices (2024)",official development assistance,gross disbursements,,,,3273.526
2023,"Million USD, constant prices (2024)",official development assistance,gross disbursements,,,,2590.122
2024,"Million USD, constant prices (2024)",official development assistance,gross disbursements,,,,3780.526
2010,"Million USD, constant prices (2024)",other official flows,commitments,,,,0.0
2011,"Million USD, constant prices (2024)",other official flows,commitments,,,,0.0
2012,"Million USD, constant prices (2024)",other official flows,commitments,,,,0.0
2013,"Million USD, constant prices (2024)",other official flows,commitments,,,,0.0
2014,"Million USD, constant prices (2024)",other official flows,commitments,,,,0.0
2015,"Million USD, constant prices (2024)",other official flows,commitments,,,,0.0
2016,"Million USD, constant prices (2024)",other official flows,commitments,,,,0.0
2017,"Million USD, constant prices (2024)",other official flows,commitments,,,,0.0
2018,"Million USD, constant prices (2024)",other official flows,commitments,,,,504.602
2019,"Million USD, constant prices (2024)",other official flows,commitments,,,,206.098
2020,"Million USD, constant prices (2024)",other official flows,commitments,,,,236.909
2021,"Million USD, constant prices (2024)",other official flows,commitments,,,,66.69
2022,"Million USD, constant prices (2024)",other official flows,commitments,,,,59.491
2023,"Million USD, constant prices (2024)",other official flows,commitments,,,,0.0
2024,"Million USD, constant prices (2024)",other official flows,commitments,,,,0.0
2010,"Million USD, constant prices (2024)",other official flows,gross disbursements,,,,0.0
2011,"Million USD, constant prices (2024)",other official flows,gross disbursements,,,,0.0
2012,"Million USD, constant prices (2024)",other official flows,gross disbursements,,,,0.0
2013,"Million USD, constant prices (2024)",other official flows,gross disbursements,,,,0.0
2014,"Million USD, constant prices (2024)",other official flows,gross disbursements,,,,0.0
2015,"Million USD, constant prices (2024)",other official flows,gross disbursements,,,,0.0
2016,"Million USD, constant prices (2024)",other official flows,gross disbursements,,,,0.0
2017,"Million USD, constant prices (2024)",other official flows,gross disbursements,,,,0.0
2018,"Million USD, constant prices (2024)",other official flows,gross disbursements,,,,504.602
2019,"Million USD, constant prices (2024)",other official flows,gross disbursements,,,,206.098
2020,"Million USD, constant prices (2024)",other official flows,gross disbursements,,,,236.909
2021,"Million USD, constant prices (2024)",other official flows,gross disbursements,,,,66.69
2022,"Million USD, constant prices (2024)",other official flows,gross disbursements,,,,59.491
2023,"Million USD, constant prices (2024)",other official flows,gross disbursements,,,,0.0
2024,"Million USD, constant prices (2024)",other official flows,gross disbursements,,,,0.0
