Year,Geschlecht,Value
2010,,95.4
2011,,95.5
2012,,96.4
2013,,96.9
2014,,97.0
2015,,96.8
2016,,95.9
2017,,96.4
2018,,95.3
2019,,95.8
2020,,95.3
2021,,95.2
2010,Weiblich,95.5
2011,Weiblich,95.7
2012,Weiblich,96.6
2013,Weiblich,97.2
2014,Weiblich,97.3
2015,Weiblich,97.2
2016,Weiblich,96.3
2017,Weiblich,96.5
2018,Weiblich,95.5
2019,Weiblich,96.3
2020,Weiblich,95.6
2021,Weiblich,95.5
2010,Männlich,95.4
2011,Männlich,95.2
2012,Männlich,96.2
2013,Männlich,96.7
2014,Männlich,96.7
2015,Männlich,96.5
2016,Männlich,95.6
2017,Männlich,96.3
2018,Männlich,95.1
2019,Männlich,95.4
2020,Männlich,95.1
2021,Männlich,95.0
