Year,Educational level,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Lower secondary education (ISCED level 2),,,,,93.9
2011,Lower secondary education (ISCED level 2),,,,,92.8
2012,Lower secondary education (ISCED level 2),,,,,93.1
2013,Lower secondary education (ISCED level 2),,,,,93.5
2014,Lower secondary education (ISCED level 2),,,,,93.8
2015,Lower secondary education (ISCED level 2),,,,,93.5
2016,Lower secondary education (ISCED level 2),,.,,,
2017,Lower secondary education (ISCED level 2),,.,,,
2018,Lower secondary education (ISCED level 2),,,,,92.8
2019,Lower secondary education (ISCED level 2),,,,,92.9
2020,Lower secondary education (ISCED level 2),,|,,,93.0
2021,Lower secondary education (ISCED level 2),,,,,91.6
2022,Lower secondary education (ISCED level 2),,,,,90.8
2023,Lower secondary education (ISCED level 2),,p,,,91.3
2010,Lower secondary education (ISCED level 2),Female,,,,94.6
2011,Lower secondary education (ISCED level 2),Female,,,,93.5
2012,Lower secondary education (ISCED level 2),Female,,,,93.8
2013,Lower secondary education (ISCED level 2),Female,,,,93.9
2014,Lower secondary education (ISCED level 2),Female,,,,94.2
2015,Lower secondary education (ISCED level 2),Female,,,,94.2
2016,Lower secondary education (ISCED level 2),Female,.,,,
2017,Lower secondary education (ISCED level 2),Female,.,,,
2018,Lower secondary education (ISCED level 2),Female,,,,93.7
2019,Lower secondary education (ISCED level 2),Female,,,,93.8
2020,Lower secondary education (ISCED level 2),Female,|,,,94.6
2021,Lower secondary education (ISCED level 2),Female,,,,92.8
2022,Lower secondary education (ISCED level 2),Female,,,,91.8
2023,Lower secondary education (ISCED level 2),Female,p,,,92.6
2010,Lower secondary education (ISCED level 2),Male,,,,93.3
2011,Lower secondary education (ISCED level 2),Male,,,,92.2
2012,Lower secondary education (ISCED level 2),Male,,,,92.5
2013,Lower secondary education (ISCED level 2),Male,,,,93.0
2014,Lower secondary education (ISCED level 2),Male,,,,93.4
2015,Lower secondary education (ISCED level 2),Male,,,,92.9
2016,Lower secondary education (ISCED level 2),Male,.,,,
2017,Lower secondary education (ISCED level 2),Male,.,,,
2018,Lower secondary education (ISCED level 2),Male,,,,92.1
2019,Lower secondary education (ISCED level 2),Male,,,,92.1
2020,Lower secondary education (ISCED level 2),Male,|,,,91.6
2021,Lower secondary education (ISCED level 2),Male,,,,90.6
2022,Lower secondary education (ISCED level 2),Male,,,,89.9
2023,Lower secondary education (ISCED level 2),Male,p,,,90.0
2010,Upper secondary education (ISCED level 3),,,,,77.2
2011,Upper secondary education (ISCED level 3),,,,,77.4
2012,Upper secondary education (ISCED level 3),,,,,76.7
2013,Upper secondary education (ISCED level 3),,,,,78.4
2014,Upper secondary education (ISCED level 3),,,,,78.9
2015,Upper secondary education (ISCED level 3),,,,,79.0
2016,Upper secondary education (ISCED level 3),,.,,,
2017,Upper secondary education (ISCED level 3),,.,,,
2018,Upper secondary education (ISCED level 3),,,,,79.2
2019,Upper secondary education (ISCED level 3),,,,,79.5
2020,Upper secondary education (ISCED level 3),,|,,,80.6
2021,Upper secondary education (ISCED level 3),,,,,77.1
2022,Upper secondary education (ISCED level 3),,,,,76.7
2023,Upper secondary education (ISCED level 3),,p,,,77.1
2010,Upper secondary education (ISCED level 3),Female,,,,79.1
2011,Upper secondary education (ISCED level 3),Female,,,,79.2
2012,Upper secondary education (ISCED level 3),Female,,,,78.7
2013,Upper secondary education (ISCED level 3),Female,,,,79.9
2014,Upper secondary education (ISCED level 3),Female,,,,80.2
2015,Upper secondary education (ISCED level 3),Female,,,,80.7
2016,Upper secondary education (ISCED level 3),Female,.,,,
2017,Upper secondary education (ISCED level 3),Female,.,,,
2018,Upper secondary education (ISCED level 3),Female,,,,81.7
2019,Upper secondary education (ISCED level 3),Female,,,,82.1
2020,Upper secondary education (ISCED level 3),Female,|,,,84.3
2021,Upper secondary education (ISCED level 3),Female,,,,80.7
2022,Upper secondary education (ISCED level 3),Female,,,,80.0
2023,Upper secondary education (ISCED level 3),Female,p,,,80.6
2010,Upper secondary education (ISCED level 3),Male,,,,75.3
2011,Upper secondary education (ISCED level 3),Male,,,,75.7
2012,Upper secondary education (ISCED level 3),Male,,,,74.9
2013,Upper secondary education (ISCED level 3),Male,,,,77.0
2014,Upper secondary education (ISCED level 3),Male,,,,77.6
2015,Upper secondary education (ISCED level 3),Male,,,,77.4
2016,Upper secondary education (ISCED level 3),Male,.,,,
2017,Upper secondary education (ISCED level 3),Male,.,,,
2018,Upper secondary education (ISCED level 3),Male,,,,76.9
2019,Upper secondary education (ISCED level 3),Male,,,,77.2
2020,Upper secondary education (ISCED level 3),Male,|,,,77.2
2021,Upper secondary education (ISCED level 3),Male,,,,73.8
2022,Upper secondary education (ISCED level 3),Male,,,,73.7
2023,Upper secondary education (ISCED level 3),Male,p,,,73.9
