Year,Value,Units,Series
2015,4.65,Prozent,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years
2017,3.66,Prozent,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years
2019,4.67,Prozent,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years
2021,3.86,Prozent,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years
2023,11.56,Prozent,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years
2011,326.0,Anzahl,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten
2012,191.0,Anzahl,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten
2013,237.0,Anzahl,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten
2014,125.0,Anzahl,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten
2015,214.0,Anzahl,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten
2017,318.0,Anzahl,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten
2018,173.0,Anzahl,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten
2019,334.0,Anzahl,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten
2020,609.0,Anzahl,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten
2021,524.0,Anzahl,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten
2022,294.0,Anzahl,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten
2023,442.0,Anzahl,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten
2024,664.0,Anzahl,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten
