Year,Value,Series
2010,13.3,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt"
2011,13.7,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt"
2012,13.5,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt"
2013,13.1,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt"
2014,12.3,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt"
2015,12.8,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt"
2016,13.1,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt"
2017,12.5,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt"
2018,13.4,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt"
2019,12.0,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt"
2020,12.0,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt"
2021,,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt"
2010,0.5,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat"
2011,0.1,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat"
2012,0.1,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat"
2013,0.0,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat"
2014,0.0,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat"
2015,0.0,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat"
2016,0.0,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat"
2017,0.0,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat"
2018,0.0,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat"
2019,0.0,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat"
2020,0.0,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat"
2021,,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat"
2010,1.6,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat"
2011,0.9,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat"
2012,0.9,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat"
2013,0.1,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat"
2014,0.0,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat"
2015,0.1,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat"
2016,0.1,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat"
2017,0.1,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat"
2018,0.0,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat"
2019,0.2,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat"
2020,0.0,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat"
2021,,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat"
2010,4.2,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet"
2011,4.1,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet"
2012,3.9,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet"
2013,4.4,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet"
2014,4.4,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet"
2015,4.0,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet"
2016,3.9,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet"
2017,4.0,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet"
2018,4.4,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet"
2019,4.0,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet"
2020,,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet"
2021,,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet"
