Year,Value,Units,Series
2010,0.0,Millionen EUR,Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2011,0.0,Millionen EUR,Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2012,0.0,Millionen EUR,Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2013,0.0,Millionen EUR,Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2014,0.0,Millionen EUR,Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2015,0.0,Millionen EUR,Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2016,9.0,Millionen EUR,Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2017,0.0,Millionen EUR,Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2018,0.0,Millionen EUR,Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2019,3.3,Millionen EUR,Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2020,26.5,Millionen EUR,Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2021,25.46,Millionen EUR,Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2010,0.0,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2011,0.0,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2012,0.0,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2013,0.0,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2014,0.0,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2015,0.0,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2016,11.81,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2017,0.0,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2018,0.0,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2019,4.09,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2020,32.3,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2021,30.11,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2010,0.0,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2011,0.0,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2012,0.0,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2013,0.0,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2014,0.0,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2015,0.0,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2016,9.0,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2017,0.0,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2018,0.0,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2019,0.03,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2020,24.75,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2021,25.0,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2010,0.0,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2011,0.0,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2012,0.0,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2013,0.0,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2014,0.0,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2015,0.0,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2016,11.81,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2017,0.0,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2018,0.0,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2019,0.04,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2020,30.16,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
2021,29.56,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für öffentlich-private Partnerschaften im Bereich Infrastruktur
