Year,Value,Series
2010,1.1,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung
2011,1.08,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung
2012,1.09,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung
2013,1.1,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung
2014,1.1,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung
2015,1.11,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung
2016,1.12,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung
2017,1.13,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung
2018,1.14,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung
2019,1.14,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung
2010,0.84,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung
2011,0.85,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung
2012,0.87,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung
2013,0.88,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung
2014,0.89,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung
2015,0.93,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung
2016,0.95,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung
2017,0.97,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung
2018,0.98,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung
2019,1.0,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung
