Year,Value,Series
2011,1,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren
2012,1,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren
2013,1,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren
2014,1,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren
2015,1,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren
2016,1,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren
2017,1,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren
2018,1,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren
2019,1,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren
2020,1,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren
2022,1,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren
2023,1,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren
2024,1,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren
2025,1,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren
2026,1,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren
2010,1,Registrierung von Geburten
2011,1,Registrierung von Geburten
2012,1,Registrierung von Geburten
2013,1,Registrierung von Geburten
2014,1,Registrierung von Geburten
2015,1,Registrierung von Geburten
2016,1,Registrierung von Geburten
2017,1,Registrierung von Geburten
2018,1,Registrierung von Geburten
2019,1,Registrierung von Geburten
2020,1,Registrierung von Geburten
2021,1,Registrierung von Geburten
2022,1,Registrierung von Geburten
2023,1,Registrierung von Geburten
2024,1,Registrierung von Geburten
2025,1,Registrierung von Geburten
2026,1,Registrierung von Geburten
2010,1,Registrierung von Sterbefällen
2011,1,Registrierung von Sterbefällen
2012,1,Registrierung von Sterbefällen
2013,1,Registrierung von Sterbefällen
2014,1,Registrierung von Sterbefällen
2015,1,Registrierung von Sterbefällen
2016,1,Registrierung von Sterbefällen
2017,1,Registrierung von Sterbefällen
2018,1,Registrierung von Sterbefällen
2019,1,Registrierung von Sterbefällen
2020,1,Registrierung von Sterbefällen
2021,1,Registrierung von Sterbefällen
2022,1,Registrierung von Sterbefällen
2023,1,Registrierung von Sterbefällen
2024,1,Registrierung von Sterbefällen
2025,1,Registrierung von Sterbefällen
2026,1,Registrierung von Sterbefällen
