Year,Value,Series
2010,15.6,Armutsgefährdungsquote
2011,15.8,Armutsgefährdungsquote
2012,16.1,Armutsgefährdungsquote
2013,16.1,Armutsgefährdungsquote
2014,16.7,Armutsgefährdungsquote
2015,16.7,Armutsgefährdungsquote
2016,16.5,Armutsgefährdungsquote
2017,16.1,Armutsgefährdungsquote
2018,16.0,Armutsgefährdungsquote
2019,14.8,Armutsgefährdungsquote
2021,16.0,Armutsgefährdungsquote
2022,14.8,Armutsgefährdungsquote
2023,14.4,Armutsgefährdungsquote
2024,15.5,Armutsgefährdungsquote
2010,40.82,Staatsausgaben für soziale Sicherung
2011,40.9,Staatsausgaben für soziale Sicherung
2012,41.04,Staatsausgaben für soziale Sicherung
2013,41.15,Staatsausgaben für soziale Sicherung
2014,41.35,Staatsausgaben für soziale Sicherung
2015,42.06,Staatsausgaben für soziale Sicherung
2016,42.77,Staatsausgaben für soziale Sicherung
2017,42.73,Staatsausgaben für soziale Sicherung
2018,42.27,Staatsausgaben für soziale Sicherung
2019,42.21,Staatsausgaben für soziale Sicherung
2020,41.86,Staatsausgaben für soziale Sicherung
