Year,Value,Series
2010,22601,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2011,20687,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2012,21045,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2013,21364,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2014,23170,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2015,23093,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2018,31830,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2019,30319,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2021,24001,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2022,21039,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2023,19032,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2010,946,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes
2011,935,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes
2012,811,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes
2013,748,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes
2014,692,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes
2015,1159,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes
2016,833,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes
2018,1249,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes
2019,1440,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes
2020,1234,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes
2021,1114,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes
2022,1027,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes
2010,43360,Genehmigte Ein- und Ausfuhren geschützter Arten
2011,43358,Genehmigte Ein- und Ausfuhren geschützter Arten
2012,48560,Genehmigte Ein- und Ausfuhren geschützter Arten
2013,44725,Genehmigte Ein- und Ausfuhren geschützter Arten
2014,49402,Genehmigte Ein- und Ausfuhren geschützter Arten
2015,47345,Genehmigte Ein- und Ausfuhren geschützter Arten
2016,49693,Genehmigte Ein- und Ausfuhren geschützter Arten
2017,56142,Genehmigte Ein- und Ausfuhren geschützter Arten
2018,59427,Genehmigte Ein- und Ausfuhren geschützter Arten
2019,58727,Genehmigte Ein- und Ausfuhren geschützter Arten
2020,42911,Genehmigte Ein- und Ausfuhren geschützter Arten
2021,49399,Genehmigte Ein- und Ausfuhren geschützter Arten
2022,49124,Genehmigte Ein- und Ausfuhren geschützter Arten
2023,44728,Genehmigte Ein- und Ausfuhren geschützter Arten
