Year,Value,Units
2010,0.796,Je 100 000 Einwohner/-innen
2011,0.821,Je 100 000 Einwohner/-innen
2013,0.749,Je 100 000 Einwohner/-innen
2014,0.722,Je 100 000 Einwohner/-innen
2015,0.579,Je 100 000 Einwohner/-innen
2016,0.652,Je 100 000 Einwohner/-innen
2017,0.811,Je 100 000 Einwohner/-innen
2018,0.595,Je 100 000 Einwohner/-innen
2019,0.566,Je 100 000 Einwohner/-innen
2020,0.576,Je 100 000 Einwohner/-innen
2021,0.678,Je 100 000 Einwohner/-innen
2022,1.796,Je 100 000 Einwohner/-innen
2024,0.762,Je 100 000 Einwohner/-innen
2010,651.0,Anzahl
2011,671.0,Anzahl
2012,626.0,Anzahl
2013,603.0,Anzahl
2014,583.0,Anzahl
2015,470.0,Anzahl
2016,536.0,Anzahl
2017,669.0,Anzahl
2018,493.0,Anzahl
2019,470.0,Anzahl
2020,479.0,Anzahl
2021,564.0,Anzahl
2022,1495.0,Anzahl
2024,636.0,Anzahl
