Year,Value,Units,Series
2010,1156.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2011,1249.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2012,1181.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2013,1182.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2014,1187.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2015,1144.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2016,1189.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2017,1223.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2018,1247.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2019,1230.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2020,1145.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2021,1320.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2022,1318.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2010,14.4,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2011,15.6,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2012,14.7,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2013,14.7,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2014,14.7,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2015,14.1,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2016,14.5,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2017,14.9,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2018,15.2,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2019,15.0,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2020,13.9,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2021,16.1,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2022,16.0,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2010,112.9,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2011,117.6,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2012,110.7,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2013,110.3,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2014,108.4,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2015,102.8,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2016,104.5,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2017,104.6,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2018,105.4,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2019,103.0,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2020,100.0,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2021,110.9,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2022,108.8,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
