Year,Value,Series
2022,286978.155,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS)
2010,10279.0,Bruttoanlageinvestitionen für Umweltschutzaktivitäten
2011,11415.0,Bruttoanlageinvestitionen für Umweltschutzaktivitäten
2012,11701.0,Bruttoanlageinvestitionen für Umweltschutzaktivitäten
2013,11331.0,Bruttoanlageinvestitionen für Umweltschutzaktivitäten
2015,12117.0,Bruttoanlageinvestitionen für Umweltschutzaktivitäten
2016,12824.0,Bruttoanlageinvestitionen für Umweltschutzaktivitäten
2017,13263.0,Bruttoanlageinvestitionen für Umweltschutzaktivitäten
2018,14747.0,Bruttoanlageinvestitionen für Umweltschutzaktivitäten
2019,15577.0,Bruttoanlageinvestitionen für Umweltschutzaktivitäten
2021,14210.0,Bruttoanlageinvestitionen für Umweltschutzaktivitäten
