Year,Value,Units,Series
2010,1212.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2011,1310.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2012,1269.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2013,1241.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2014,1252.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2015,1207.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2016,1246.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2017,1281.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2018,1299.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2019,1285.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2020,1230.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2021,1263.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2010,14.8,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2011,16.3,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2012,15.8,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2013,15.4,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2014,15.4,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2015,14.7,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2016,15.1,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2017,15.5,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2018,15.6,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2019,15.5,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2020,14.8,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2021,15.2,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC)
2010,110.2,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2011,114.8,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2012,110.7,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2013,107.8,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2014,106.5,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2015,101.0,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2017,102.0,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2019,100.2,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2020,100.0,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
2021,98.8,2020 = 100,Inländische Rohstoffverwendung pro realem BIP
