Year,Value,Series
2010,36.4,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2011,45.5,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2012,45.5,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2013,45.5,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2014,51.5,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2015,36.4,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2016,30.3,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2017,41.2,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2018,44.1,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2019,38.2,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2020,41.2,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2021,55.9,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2022,58.8,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2023,61.8,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
2024,67.6,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen
