Year,Value,Series
2010,,Penetrationsrate Mobilfunk
2011,,Penetrationsrate Mobilfunk
2012,120.5,Penetrationsrate Mobilfunk
2013,127.9,Penetrationsrate Mobilfunk
2014,126.4,Penetrationsrate Mobilfunk
2015,129.9,Penetrationsrate Mobilfunk
2016,132.6,Penetrationsrate Mobilfunk
2017,132.5,Penetrationsrate Mobilfunk
2018,129.5,Penetrationsrate Mobilfunk
2019,128.8,Penetrationsrate Mobilfunk
2020,129.2,Penetrationsrate Mobilfunk
2021,127.9,Penetrationsrate Mobilfunk
2022,124.0,Penetrationsrate Mobilfunk
2010,88.9,Privathaushalte mit mindestens einem Mobiltelefon
2011,90.0,Privathaushalte mit mindestens einem Mobiltelefon
2012,90.3,Privathaushalte mit mindestens einem Mobiltelefon
2013,92.7,Privathaushalte mit mindestens einem Mobiltelefon
2014,93.6,Privathaushalte mit mindestens einem Mobiltelefon
2015,93.5,Privathaushalte mit mindestens einem Mobiltelefon
2016,95.1,Privathaushalte mit mindestens einem Mobiltelefon
2017,95.5,Privathaushalte mit mindestens einem Mobiltelefon
2018,96.7,Privathaushalte mit mindestens einem Mobiltelefon
2019,97.0,Privathaushalte mit mindestens einem Mobiltelefon
2020,97.5,Privathaushalte mit mindestens einem Mobiltelefon
2021,97.6,Privathaushalte mit mindestens einem Mobiltelefon
2022,98.1,Privathaushalte mit mindestens einem Mobiltelefon
