Year,Value,Units
2023,68763.5,Millionen EUR
2010,46398.0,"Millionen USD, konstante Preise (2023)"
2011,58935.0,"Millionen USD, konstante Preise (2023)"
2012,38823.0,"Millionen USD, konstante Preise (2023)"
2013,56360.0,"Millionen USD, konstante Preise (2023)"
2014,55250.0,"Millionen USD, konstante Preise (2023)"
2015,58399.3,"Millionen USD, konstante Preise (2023)"
2016,59759.0,"Millionen USD, konstante Preise (2023)"
2017,63102.0,"Millionen USD, konstante Preise (2023)"
2018,57236.0,"Millionen USD, konstante Preise (2023)"
2019,48013.0,"Millionen USD, konstante Preise (2023)"
2020,49103.0,"Millionen USD, konstante Preise (2023)"
2021,71254.0,"Millionen USD, konstante Preise (2023)"
2022,56348.0,"Millionen USD, konstante Preise (2023)"
2023,74355.0,"Millionen USD, konstante Preise (2023)"
