Year,Units,time series,Value
2010,million eur,commitments (oda),0.0
2011,million eur,commitments (oda),0.0
2012,million eur,commitments (oda),0.0
2013,million eur,commitments (oda),0.0
2014,million eur,commitments (oda),0.0
2015,million eur,commitments (oda),0.0
2016,million eur,commitments (oda),9.0
2017,million eur,commitments (oda),0.0
2018,million eur,commitments (oda),0.0
2019,million eur,commitments (oda),3.3
2020,million eur,commitments (oda),26.5
2021,million eur,commitments (oda),25.0
2022,million eur,commitments (oda),30.0
2010,"million usd, constant prices (2022)",commitments (oda),0.0
2011,"million usd, constant prices (2022)",commitments (oda),0.0
2012,"million usd, constant prices (2022)",commitments (oda),0.0
2013,"million usd, constant prices (2022)",commitments (oda),0.0
2014,"million usd, constant prices (2022)",commitments (oda),0.0
2015,"million usd, constant prices (2022)",commitments (oda),0.0
2016,"million usd, constant prices (2022)",commitments (oda),11.06
2017,"million usd, constant prices (2022)",commitments (oda),0.0
2018,"million usd, constant prices (2022)",commitments (oda),0.0
2019,"million usd, constant prices (2022)",commitments (oda),3.83
2020,"million usd, constant prices (2022)",commitments (oda),30.22
2021,"million usd, constant prices (2022)",commitments (oda),27.68
2022,"million usd, constant prices (2022)",commitments (oda),31.55
2010,million eur,gross disbursements (oda),0.0
2011,million eur,gross disbursements (oda),0.0
2012,million eur,gross disbursements (oda),0.0
2013,million eur,gross disbursements (oda),0.0
2014,million eur,gross disbursements (oda),0.0
2015,million eur,gross disbursements (oda),0.0
2016,million eur,gross disbursements (oda),9.0
2017,million eur,gross disbursements (oda),0.0
2018,million eur,gross disbursements (oda),0.0
2019,million eur,gross disbursements (oda),0.03
2020,million eur,gross disbursements (oda),24.75
2021,million eur,gross disbursements (oda),25.46
2022,million eur,gross disbursements (oda),30.24
2010,"million usd, constant prices (2022)",gross disbursements (oda),0.0
2011,"million usd, constant prices (2022)",gross disbursements (oda),0.0
2012,"million usd, constant prices (2022)",gross disbursements (oda),0.0
2013,"million usd, constant prices (2022)",gross disbursements (oda),0.0
2014,"million usd, constant prices (2022)",gross disbursements (oda),0.0
2015,"million usd, constant prices (2022)",gross disbursements (oda),0.0
2016,"million usd, constant prices (2022)",gross disbursements (oda),11.06
2017,"million usd, constant prices (2022)",gross disbursements (oda),0.0
2018,"million usd, constant prices (2022)",gross disbursements (oda),0.0
2019,"million usd, constant prices (2022)",gross disbursements (oda),0.03
2020,"million usd, constant prices (2022)",gross disbursements (oda),28.23
2021,"million usd, constant prices (2022)",gross disbursements (oda),28.19
2022,"million usd, constant prices (2022)",gross disbursements (oda),31.8
