Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,19.4
2011,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,20.1
2012,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,20.0
2013,Prozent,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,19.7
2014,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,20.1
2015,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,20.1
2016,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,20.4
2017,Prozent,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,20.0
2018,Prozent,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,19.7
2019,Prozent,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,19.2
2020,Prozent,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,18.4
2021,Prozent,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,18.2
2022,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,18.2
2023,Prozent,p,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,18.6
2024,Prozent,p,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,18.1
2025,Prozent,p,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,17.6
2010,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,21.7
2011,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,22.5
2012,Prozent,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,22.4
2013,Prozent,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,22.1
2014,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,22.5
2015,Prozent,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,22.5
2016,Prozent,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,228.0
2017,Prozent,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,22.4
2018,Prozent,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,22.0
2019,Prozent,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,21.5
2020,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,20.6
2021,Prozent,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,20.3
2022,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,20.3
2023,Prozent,p,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,20.4
2024,Prozent,p,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,19.9
2025,Prozent,p,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,19.4
2010,EUR,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,6329.0
2011,EUR,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,6886.0
2012,EUR,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,6981.0
2013,EUR,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,7034.0
2014,EUR,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,7428.0
2015,EUR,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,7641.0
2016,EUR,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,7967.0
2017,EUR,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,8164.0
2018,EUR,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,8280.0
2019,EUR,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,8311.0
2020,EUR,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,7793.0
2021,EUR,r,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,8349.0
2022,EUR,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,8867.0
2023,EUR,p,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,9512.0
2024,EUR,p,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,9497.0
2025,EUR,p,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,9446.0
