Year,Units,Type of Official Development Assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Commitments,,,,668.083
2011,Million EUR,Commitments,,,,823.082
2012,Million EUR,Commitments,,,,1088.977
2013,Million EUR,Commitments,,,,851.035
2014,Million EUR,Commitments,,,,937.185
2015,Million EUR,Commitments,,,,864.022
2016,Million EUR,Commitments,,,,606.119
2017,Million EUR,Commitments,,,,1342.039
2018,Million EUR,Commitments,,,,1450.388
2019,Million EUR,Commitments,,,,1430.158
2020,Million EUR,Commitments,,,,1144.416
2021,Million EUR,Commitments,,,,1108.705
2022,Million EUR,Commitments,,,,1499.012
2023,Million EUR,Commitments,,,,757.125
2024,Million EUR,Commitments,,,,1417.545
2010,Million EUR,Gross disbursements,,,,486.112
2011,Million EUR,Gross disbursements,,,,563.478
2012,Million EUR,Gross disbursements,,,,496.972
2013,Million EUR,Gross disbursements,,,,552.891
2014,Million EUR,Gross disbursements,,,,748.529
2015,Million EUR,Gross disbursements,,,,827.553
2016,Million EUR,Gross disbursements,,,,834.984
2017,Million EUR,Gross disbursements,,,,856.627
2018,Million EUR,Gross disbursements,,,,894.85
2019,Million EUR,Gross disbursements,,,,822.974
2020,Million EUR,Gross disbursements,,,,874.244
2021,Million EUR,Gross disbursements,,,,771.803
2022,Million EUR,Gross disbursements,,,,815.596
2023,Million EUR,Gross disbursements,,,,932.932
2024,Million EUR,Gross disbursements,,,,1340.968
2010,"Million USD, constant prices (2024)",Commitments,,,,1024.884
2011,"Million USD, constant prices (2024)",Commitments,,,,1247.3
2012,"Million USD, constant prices (2024)",Commitments,,,,1626.893
2013,"Million USD, constant prices (2024)",Commitments,,,,1246.525
2014,"Million USD, constant prices (2024)",Commitments,,,,1347.16
2015,"Million USD, constant prices (2024)",Commitments,,,,1220.71
2016,"Million USD, constant prices (2024)",Commitments,,,,845.674
2017,"Million USD, constant prices (2024)",Commitments,,,,1845.298
2018,"Million USD, constant prices (2024)",Commitments,,,,1957.629
2019,"Million USD, constant prices (2024)",Commitments,,,,1892.226
2020,"Million USD, constant prices (2024)",Commitments,,,,1488.085
2021,"Million USD, constant prices (2024)",Commitments,,,,1403.873
2022,"Million USD, constant prices (2024)",Commitments,,,,1783.565
2023,"Million USD, constant prices (2024)",Commitments,,,,844.317
2024,"Million USD, constant prices (2024)",Commitments,,,,1533.145
2010,"Million USD, constant prices (2024)",Gross disbursements,,,,745.728
2011,"Million USD, constant prices (2024)",Gross disbursements,,,,853.896
2012,"Million USD, constant prices (2024)",Gross disbursements,,,,742.459
2013,"Million USD, constant prices (2024)",Gross disbursements,,,,809.829
2014,"Million USD, constant prices (2024)",Gross disbursements,,,,1075.975
2015,"Million USD, constant prices (2024)",Gross disbursements,,,,1169.186
2016,"Million USD, constant prices (2024)",Gross disbursements,,,,1164.993
2017,"Million USD, constant prices (2024)",Gross disbursements,,,,1177.858
2018,"Million USD, constant prices (2024)",Gross disbursements,,,,1207.805
2019,"Million USD, constant prices (2024)",Gross disbursements,,,,1088.868
2020,"Million USD, constant prices (2024)",Gross disbursements,,,,1136.78
2021,"Million USD, constant prices (2024)",Gross disbursements,,,,977.278
2022,"Million USD, constant prices (2024)",Gross disbursements,,,,970.418
2023,"Million USD, constant prices (2024)",Gross disbursements,,,,1040.37
2024,"Million USD, constant prices (2024)",Gross disbursements,,,,1450.322
