Year,environmental protection and/or resource management domain,Wirtschaftszweig,Sektor,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2022,,,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),286978.155
2023,,,,p,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),284514.935
2022,Luft und Klima (CEP 01),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,Luft und Klima (CEP 01),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),24420.372
2024,Luft und Klima (CEP 01),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,Energie aus erneuerbaren Quellen (CEP 0201),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,Energie aus erneuerbaren Quellen (CEP 0201),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),101940.629
2024,Energie aus erneuerbaren Quellen (CEP 0201),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,Energieeinsparungen und -management (CEP 0202),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,Energieeinsparungen und -management (CEP 0202),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),34654.472
2024,Energieeinsparungen und -management (CEP 0202),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,Abwasserwirtschaft (CEP 0301),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,Abwasserwirtschaft (CEP 0301),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),33969.816
2024,Abwasserwirtschaft (CEP 0301),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,Wassereinsparungen und Management der natürlichen Wasserressourcen (CEP 0302),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,Wassereinsparungen und Management der natürlichen Wasserressourcen (CEP 0302),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),91.89
2024,Wassereinsparungen und Management der natürlichen Wasserressourcen (CEP 0302),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,Abfallwirtschaft (CEP 0401),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,Abfallwirtschaft (CEP 0401),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),41310.205
2024,Abfallwirtschaft (CEP 0401),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,Wertstoffrückgewinnung und -einsparungen (CEP 0402),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,Wertstoffrückgewinnung und -einsparungen (CEP 0402),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),21448.488
2024,Wertstoffrückgewinnung und -einsparungen (CEP 0402),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,"Schutz von Boden, Oberflächen- und Grundwasser (CEP 0501)",,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,"Schutz von Boden, Oberflächen- und Grundwasser (CEP 0501)",,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),8482.142
2024,"Schutz von Boden, Oberflächen- und Grundwasser (CEP 0501)",,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,Schutz von Biodiversität und Landschaft (CEP 0502),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,Schutz von Biodiversität und Landschaft (CEP 0502),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),2525.694
2024,Schutz von Biodiversität und Landschaft (CEP 0502),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,Management von Waldressourcen (CEP 0503),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,Management von Waldressourcen (CEP 0503),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),3548.487
2024,Management von Waldressourcen (CEP 0503),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,Lärm und Strahlung (CEP 06),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,Lärm und Strahlung (CEP 06),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),6933.207
2024,Lärm und Strahlung (CEP 06),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,"Forschung und Entwicklung auf dem Gebiet des Umweltschutzes (CEP 0701, 0703, 0705, 0707 und 0709)",,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,"Forschung und Entwicklung auf dem Gebiet des Umweltschutzes (CEP 0701, 0703, 0705, 0707 und 0709)",,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),1720.42
2024,"Forschung und Entwicklung auf dem Gebiet des Umweltschutzes (CEP 0701, 0703, 0705, 0707 und 0709)",,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,"Forschung und Entwicklung auf dem Gebiet des Ressourcenmanagements (CEP 0702, 0704, 0706 und 0708)",,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,"Forschung und Entwicklung auf dem Gebiet des Ressourcenmanagements (CEP 0702, 0704, 0706 und 0708)",,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),236.365
2024,"Forschung und Entwicklung auf dem Gebiet des Ressourcenmanagements (CEP 0702, 0704, 0706 und 0708)",,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,Bereichsübergreifende Zwecke und andere Umweltzwecke (CEP 08),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,Bereichsübergreifende Zwecke und andere Umweltzwecke (CEP 08),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),3232.749
2024,Bereichsübergreifende Zwecke und andere Umweltzwecke (CEP 08),,,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,"agriculture, forestry and fishing (section a)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,"agriculture, forestry and fishing (section a)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),9839.794
