Year,Units,time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,commitments (oda and oof),,,,1.9
2011,million eur,commitments (oda and oof),,,,2.4
2012,million eur,commitments (oda and oof),,,,3.1
2013,million eur,commitments (oda and oof),,,,10.1
2014,million eur,commitments (oda and oof),,,,0.1
2015,million eur,commitments (oda and oof),,,,0.1
2016,million eur,commitments (oda and oof),,,,0.1
2017,million eur,commitments (oda and oof),,,,2.3
2018,million eur,commitments (oda and oof),,,,0.1
2019,million eur,commitments (oda and oof),0.0,,,0.0
2020,million eur,commitments (oda and oof),,,,2.0
2021,million eur,commitments (oda and oof),,,,1.8
2022,million eur,commitments (oda and oof),,,,0.8
2023,million eur,commitments (oda and oof),,,,1.5
2010,million eur,gross disbursements (oda and oof),,,,2.6
2011,million eur,gross disbursements (oda and oof),,,,3.3
2012,million eur,gross disbursements (oda and oof),,,,1.8
2013,million eur,gross disbursements (oda and oof),,,,10.6
2014,million eur,gross disbursements (oda and oof),,,,0.1
2015,million eur,gross disbursements (oda and oof),0.0,,,0.0
2016,million eur,gross disbursements (oda and oof),,,,0.1
2017,million eur,gross disbursements (oda and oof),,,,0.1
2018,million eur,gross disbursements (oda and oof),,,,0.5
2019,million eur,gross disbursements (oda and oof),,,,0.9
2020,million eur,gross disbursements (oda and oof),,,,1.1
2021,million eur,gross disbursements (oda and oof),,,,3.1
2022,million eur,gross disbursements (oda and oof),,,,0.9
2023,million eur,gross disbursements (oda and oof),,,,1.8
2010,"million usd, constant prices (2022)",commitments (oda and oof),,,,2.6
2011,"million usd, constant prices (2022)",commitments (oda and oof),,,,3.3
2012,"million usd, constant prices (2022)",commitments (oda and oof),,,,4.1
2013,"million usd, constant prices (2022)",commitments (oda and oof),,,,13.0
2014,"million usd, constant prices (2022)",commitments (oda and oof),,,,0.1
2015,"million usd, constant prices (2022)",commitments (oda and oof),,,,0.1
2016,"million usd, constant prices (2022)",commitments (oda and oof),,,,0.1
2017,"million usd, constant prices (2022)",commitments (oda and oof),,,,2.8
2018,"million usd, constant prices (2022)",commitments (oda and oof),,,,0.1
2019,"million usd, constant prices (2022)",commitments (oda and oof),,,,0.1
2020,"million usd, constant prices (2022)",commitments (oda and oof),,,,2.3
2021,"million usd, constant prices (2022)",commitments (oda and oof),,,,2.0
2022,"million usd, constant prices (2022)",commitments (oda and oof),,,,0.9
2023,"million usd, constant prices (2022)",commitments (oda and oof),,,,1.5
2010,"million usd, constant prices (2022)",gross disbursements (oda and oof),,,,3.6
2011,"million usd, constant prices (2022)",gross disbursements (oda and oof),,,,4.4
2012,"million usd, constant prices (2022)",gross disbursements (oda and oof),,,,2.4
2013,"million usd, constant prices (2022)",gross disbursements (oda and oof),,,,13.8
2014,"million usd, constant prices (2022)",gross disbursements (oda and oof),,,,0.1
2015,"million usd, constant prices (2022)",gross disbursements (oda and oof),0.0,,,0.0
2016,"million usd, constant prices (2022)",gross disbursements (oda and oof),,,,0.1
2017,"million usd, constant prices (2022)",gross disbursements (oda and oof),,,,0.1
2018,"million usd, constant prices (2022)",gross disbursements (oda and oof),,,,0.6
2019,"million usd, constant prices (2022)",gross disbursements (oda and oof),,,,1.0
2020,"million usd, constant prices (2022)",gross disbursements (oda and oof),,,,1.3
2021,"million usd, constant prices (2022)",gross disbursements (oda and oof),,,,3.5
2022,"million usd, constant prices (2022)",gross disbursements (oda and oof),,,,0.9
2023,"million usd, constant prices (2022)",gross disbursements (oda and oof),,,,1.8
