Year,Indikator,Value
2010,SDG-Indikator 4.2.2,1.0
2011,SDG-Indikator 4.2.2,1.0
2012,SDG-Indikator 4.2.2,1.0
2013,SDG-Indikator 4.2.2,1.0
2014,SDG-Indikator 4.2.2,1.01
2015,SDG-Indikator 4.2.2,1.01
2016,SDG-Indikator 4.2.2,1.01
2017,SDG-Indikator 4.2.2,1.0
2018,SDG-Indikator 4.2.2,1.0
2019,SDG-Indikator 4.2.2,1.01
2020,SDG-Indikator 4.2.2,1.0
2021,SDG-Indikator 4.2.2,1.0
2022,SDG-Indikator 4.2.2,1.0
2010,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),1.024
2011,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),1.026
2012,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),1.021
2013,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),1.012
2014,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),1.012
2015,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),1.009
2016,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),1.009
2017,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),1.015
2018,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),1.025
2019,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),1.033
2020,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),1.023
2021,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),1.044
2022,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),1.046
2010,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),0.965
2011,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),0.955
2012,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),0.959
2013,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),0.959
2014,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),0.962
2015,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),0.957
2016,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),0.951
2017,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),0.953
2018,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),0.964
2019,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),0.98
2020,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),0.992
2021,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),1.01
2022,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),1.028
2010,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),0.95
2011,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),0.938
2012,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),0.951
2013,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),0.959
2014,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),0.96
2015,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),0.955
2016,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),0.946
2017,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),0.944
2018,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),0.947
2019,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),0.968
2020,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),0.983
2021,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),1.007
2022,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),1.038
2010,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),0.861
2011,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),0.864
2012,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),0.896
2013,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),0.922
2014,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),0.959
2015,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),0.962
2016,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),0.975
2017,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),0.996
2018,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),1.027
2019,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),1.034
2020,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),1.096
2021,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),1.072
2022,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),1.099
