Year,Units,Altersklasse,Geschlecht,Art der Opfer-Tatverdächtigen-Beziehung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Je 100 000 Einwohner/-innen,,,,,,,0.97
2011,Je 100 000 Einwohner/-innen,,,,,,,0.9
2012,Je 100 000 Einwohner/-innen,,,,,,,0.81
2013,Je 100 000 Einwohner/-innen,,,,|,,,0.86
2014,Je 100 000 Einwohner/-innen,,,,,,,0.89
2015,Je 100 000 Einwohner/-innen,,,,,,,0.84
2016,Je 100 000 Einwohner/-innen,,,,,,,1.17
2017,Je 100 000 Einwohner/-innen,,,,,,,0.99
2018,Je 100 000 Einwohner/-innen,,,,,,,0.95
2019,Je 100 000 Einwohner/-innen,,,,,,,0.75
2020,Je 100 000 Einwohner/-innen,,,,,,,0.94
2021,Je 100 000 Einwohner/-innen,,,,,,,0.84
2022,Je 100 000 Einwohner/-innen,,,,,,,0.82
2023,Je 100 000 Einwohner/-innen,,,,,,,0.91
2024,Je 100 000 Einwohner/-innen,,,,|,,,0.93
2010,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,0.75
2011,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,0.72
2012,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,0.9
2013,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,|,,,0.67
2014,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,0.64
2015,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,0.63
2016,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,0.67
2017,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,0.65
2018,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,0.67
2019,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,0.49
2020,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,0.74
2021,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,0.77
2022,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,0.47
2023,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,0.65
2024,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,|,,,0.51
2010,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,0.68
2011,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,0.84
2012,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,0.19
2013,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,|,,,0.37
2014,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,0.47
2015,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,0.44
2016,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,1.09
2017,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,0.13
2018,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,0.45
2019,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,0.36
2020,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,0.4
2021,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,0.47
2022,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,0.46
2023,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,0.55
2024,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,|,,,0.48
2010,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,1.34
2011,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,1.06
2012,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,0.89
2013,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,|,,,0.61
2014,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,0.82
2015,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,0.73
2016,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,1.65
2017,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,0.6
2018,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,0.99
2019,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,0.62
2020,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,0.83
2021,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,0.77
2022,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,0.96
2023,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,0.74
2024,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,|,,,1.11
2010,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,,,,1.01
2011,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,,,,0.96
2012,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,,,,0.81
2013,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,|,,,0.87
2014,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,,,,0.93
2015,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,,,,0.75
2016,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,,,,1.2
2017,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,,,,0.95
2018,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,,,,1.02
2019,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,,,,0.8
2020,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,,,,0.87
2021,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,,,,0.78
2022,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,,,,0.79
