Year,Thematic area,Value
2018,Section 1: Maternity care,
2019,Section 1: Maternity care,68.0
2020,Section 1: Maternity care,
2018,Section 2: Contraception and family planning,
2019,Section 2: Contraception and family planning,85.0
2020,Section 2: Contraception and family planning,
2018,Section 3: Comprehensive sexuality education and information,
2020,Section 3: Comprehensive sexuality education and information,
2018,Section 4: HIV and HPV,
2019,Section 4: HIV and HPV,100.0
2020,Section 4: HIV and HPV,
