Year,timeseries,field of work,level of court,Value
2010,"proportions of positions of women in the public service compared to the national distribution, by field of work",,,1.1
2011,"proportions of positions of women in the public service compared to the national distribution, by field of work",,,1.08
2012,"proportions of positions of women in the public service compared to the national distribution, by field of work",,,1.09
2013,"proportions of positions of women in the public service compared to the national distribution, by field of work",,,1.1
2014,"proportions of positions of women in the public service compared to the national distribution, by field of work",,,1.1
2015,"proportions of positions of women in the public service compared to the national distribution, by field of work",,,1.11
2016,"proportions of positions of women in the public service compared to the national distribution, by field of work",,,1.12
2017,"proportions of positions of women in the public service compared to the national distribution, by field of work",,,1.13
2018,"proportions of positions of women in the public service compared to the national distribution, by field of work",,,1.14
2019,"proportions of positions of women in the public service compared to the national distribution, by field of work",,,1.14
2010,"proportions of positions of women in the public service compared to the national distribution, by field of work","political leadership and central administration, foreign affairs",,1.06
2011,"proportions of positions of women in the public service compared to the national distribution, by field of work","political leadership and central administration, foreign affairs",,1.06
2012,"proportions of positions of women in the public service compared to the national distribution, by field of work","political leadership and central administration, foreign affairs",,1.07
2013,"proportions of positions of women in the public service compared to the national distribution, by field of work","political leadership and central administration, foreign affairs",,1.08
2014,"proportions of positions of women in the public service compared to the national distribution, by field of work","political leadership and central administration, foreign affairs",,1.08
2015,"proportions of positions of women in the public service compared to the national distribution, by field of work","political leadership and central administration, foreign affairs",,1.09
2016,"proportions of positions of women in the public service compared to the national distribution, by field of work","political leadership and central administration, foreign affairs",,1.11
2017,"proportions of positions of women in the public service compared to the national distribution, by field of work","political leadership and central administration, foreign affairs",,1.12
2018,"proportions of positions of women in the public service compared to the national distribution, by field of work","political leadership and central administration, foreign affairs",,1.12
2019,"proportions of positions of women in the public service compared to the national distribution, by field of work","political leadership and central administration, foreign affairs",,1.13
2010,"proportions of positions of women in the public service compared to the national distribution, by field of work",police,,0.5
2011,"proportions of positions of women in the public service compared to the national distribution, by field of work",police,,0.48
2012,"proportions of positions of women in the public service compared to the national distribution, by field of work",police,,0.49
2013,"proportions of positions of women in the public service compared to the national distribution, by field of work",police,,0.5
2014,"proportions of positions of women in the public service compared to the national distribution, by field of work",police,,0.51
2015,"proportions of positions of women in the public service compared to the national distribution, by field of work",police,,0.52
2016,"proportions of positions of women in the public service compared to the national distribution, by field of work",police,,0.53
2017,"proportions of positions of women in the public service compared to the national distribution, by field of work",police,,0.55
2018,"proportions of positions of women in the public service compared to the national distribution, by field of work",police,,0.57
2019,"proportions of positions of women in the public service compared to the national distribution, by field of work",police,,0.59
2010,"proportions of positions of women in the public service compared to the national distribution, by field of work","education, science, research, cultural affairs",,1.32
2011,"proportions of positions of women in the public service compared to the national distribution, by field of work","education, science, research, cultural affairs",,1.32
2012,"proportions of positions of women in the public service compared to the national distribution, by field of work","education, science, research, cultural affairs",,1.32
