Year,Completeness of disaggregation,Goal,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,Fully disaggregated,,,,,23
2025,Fully disaggregated,,r,,,28
2026,Fully disaggregated,,,,,28
2024,Partially disaggregated,,,,,23
2025,Partially disaggregated,,r,,,24
2026,Partially disaggregated,,,,,26
2024,Not disaggregated,,,,,54
2025,Not disaggregated,,r,,,48
2026,Not disaggregated,,,,,46
2024,Fully disaggregated,1 - No poverty,-,,,0
2025,Fully disaggregated,1 - No poverty,-,,,0
2026,Fully disaggregated,1 - No poverty,-,,,0
2024,Partially disaggregated,1 - No poverty,,,,25
2025,Partially disaggregated,1 - No poverty,,,,25
2026,Partially disaggregated,1 - No poverty,,,,50
2024,Not disaggregated,1 - No poverty,,,,75
2025,Not disaggregated,1 - No poverty,,,,75
2026,Not disaggregated,1 - No poverty,,,,50
2024,Fully disaggregated,2 - Zero hunger,,,,25
2025,Fully disaggregated,2 - Zero hunger,,,,20
2026,Fully disaggregated,2 - Zero hunger,,,,20
2024,Partially disaggregated,2 - Zero hunger,-,,,0
2025,Partially disaggregated,2 - Zero hunger,-,,,0
2026,Partially disaggregated,2 - Zero hunger,-,,,0
2024,Not disaggregated,2 - Zero hunger,,,,75
2025,Not disaggregated,2 - Zero hunger,,,,80
2026,Not disaggregated,2 - Zero hunger,,,,80
2024,Fully disaggregated,3 - Good health and well-being,-,,,0
2025,Fully disaggregated,3 - Good health and well-being,-,,,0
2026,Fully disaggregated,3 - Good health and well-being,-,,,0
2024,Partially disaggregated,3 - Good health and well-being,,,,100
2025,Partially disaggregated,3 - Good health and well-being,,,,100
2026,Partially disaggregated,3 - Good health and well-being,,,,100
2024,Not disaggregated,3 - Good health and well-being,-,,,0
2025,Not disaggregated,3 - Good health and well-being,-,,,0
2026,Not disaggregated,3 - Good health and well-being,-,,,0
2024,Fully disaggregated,4 - Quality education,,,,33
2025,Fully disaggregated,4 - Quality education,r,,,44
2026,Fully disaggregated,4 - Quality education,,,,44
2024,Partially disaggregated,4 - Quality education,-,,,0
2025,Partially disaggregated,4 - Quality education,-,,,0
2026,Partially disaggregated,4 - Quality education,-,,,0
2024,Not disaggregated,4 - Quality education,,,,67
2025,Not disaggregated,4 - Quality education,r,,,56
2026,Not disaggregated,4 - Quality education,,,,56
