Year,Type of disease,Value
2010,a) Cardiovascular disease,45.0
2011,a) Cardiovascular disease,41.8
2012,a) Cardiovascular disease,41.3
2013,a) Cardiovascular disease,41.4
2014,a) Cardiovascular disease,40.0
2015,a) Cardiovascular disease,42.3
2016,a) Cardiovascular disease,41.6
2017,a) Cardiovascular disease,40.9
2018,a) Cardiovascular disease,41.8
2019,a) Cardiovascular disease,39.8
2020,a) Cardiovascular disease,40.7
2010,b) Cancer,77.9
2011,b) Cancer,76.9
2012,b) Cancer,75.0
2013,b) Cancer,75.0
2014,b) Cancer,73.2
2015,b) Cancer,74.7
2016,b) Cancer,76.4
2017,b) Cancer,75.4
2018,b) Cancer,76.1
2019,b) Cancer,74.7
2020,b) Cancer,74.2
2010,c) Diabetes mellitus,3.5
2011,c) Diabetes mellitus,3.4
2012,c) Diabetes mellitus,3.4
2013,c) Diabetes mellitus,3.5
2014,c) Diabetes mellitus,3.3
2015,c) Diabetes mellitus,3.6
2016,c) Diabetes mellitus,3.5
2017,c) Diabetes mellitus,3.8
2018,c) Diabetes mellitus,3.8
2019,c) Diabetes mellitus,3.7
2020,c) Diabetes mellitus,3.8
2010,d) Chronic respiratory disease,7.4
2011,d) Chronic respiratory disease,7.5
2012,d) Chronic respiratory disease,7.1
2013,d) Chronic respiratory disease,8.0
2014,d) Chronic respiratory disease,7.6
2015,d) Chronic respiratory disease,8.7
2016,d) Chronic respiratory disease,8.8
2017,d) Chronic respiratory disease,9.4
2018,d) Chronic respiratory disease,9.7
2019,d) Chronic respiratory disease,9.7
2020,d) Chronic respiratory disease,10.7
