Year,Time series,Value
2010,Proportion of ODA (net disbursements) to GNI,0.39
2011,Proportion of ODA (net disbursements) to GNI,0.39
2012,Proportion of ODA (net disbursements) to GNI,0.37
2013,Proportion of ODA (net disbursements) to GNI,0.38
2014,Proportion of ODA (net disbursements) to GNI,0.42
2015,Proportion of ODA (net disbursements) to GNI,0.52
2016,Proportion of ODA (net disbursements) to GNI,0.7
2017,Proportion of ODA (net disbursements) to GNI,0.67
2018,Proportion of ODA (net disbursements) to GNI,0.63
2019,Proportion of ODA (net disbursements) to GNI,0.61
2020,Proportion of ODA (net disbursements) to GNI,0.74
2010,Proportion of bilateral and imputed multilateral ODA (net disbursements) for LDCs to the gross national income (GNI),0.11
2011,Proportion of bilateral and imputed multilateral ODA (net disbursements) for LDCs to the gross national income (GNI),0.1
2012,Proportion of bilateral and imputed multilateral ODA (net disbursements) for LDCs to the gross national income (GNI),0.11
2013,Proportion of bilateral and imputed multilateral ODA (net disbursements) for LDCs to the gross national income (GNI),0.09
2014,Proportion of bilateral and imputed multilateral ODA (net disbursements) for LDCs to the gross national income (GNI),0.1
2015,Proportion of bilateral and imputed multilateral ODA (net disbursements) for LDCs to the gross national income (GNI),0.08
2016,Proportion of bilateral and imputed multilateral ODA (net disbursements) for LDCs to the gross national income (GNI),0.1
2017,Proportion of bilateral and imputed multilateral ODA (net disbursements) for LDCs to the gross national income (GNI),0.11
2018,Proportion of bilateral and imputed multilateral ODA (net disbursements) for LDCs to the gross national income (GNI),0.12
2019,Proportion of bilateral and imputed multilateral ODA (net disbursements) for LDCs to the gross national income (GNI),
2020,Proportion of bilateral and imputed multilateral ODA (net disbursements) for LDCs to the gross national income (GNI),
