Year,Units,Time series,Presentation,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,No unit,Ratio of land consumption rate to population growth rate,Annual values,x,,,
2011,No unit,Ratio of land consumption rate to population growth rate,Annual values,,,,6.845
2012,No unit,Ratio of land consumption rate to population growth rate,Annual values,,,,2.01
2013,No unit,Ratio of land consumption rate to population growth rate,Annual values,,,,1.565
2014,No unit,Ratio of land consumption rate to population growth rate,Annual values,,,,1.153
2015,No unit,Ratio of land consumption rate to population growth rate,Annual values,,,,0.293
2016,No unit,Ratio of land consumption rate to population growth rate,Annual values,|,,,0.91
2017,No unit,Ratio of land consumption rate to population growth rate,Annual values,,,,1.553
2018,No unit,Ratio of land consumption rate to population growth rate,Annual values,,,,2.317
2019,No unit,Ratio of land consumption rate to population growth rate,Annual values,,,,1.859
2020,No unit,Ratio of land consumption rate to population growth rate,Annual values,x,,,
2021,No unit,Ratio of land consumption rate to population growth rate,Annual values,,,,4.248
2022,No unit,Ratio of land consumption rate to population growth rate,Annual values,x, r,,
2023,No unit,Ratio of land consumption rate to population growth rate,Annual values,r,,,1.099
2024,No unit,Ratio of land consumption rate to population growth rate,Annual values,…,,,
2010,2015 = 100,Proportion of settlement and transport areas to population,Annual values,,,,99.587
2011,2015 = 100,Proportion of settlement and transport areas to population,Annual values,,,,100.353
2012,2015 = 100,Proportion of settlement and transport areas to population,Annual values,,,,100.599
2013,2015 = 100,Proportion of settlement and transport areas to population,Annual values,,,,100.77
2014,2015 = 100,Proportion of settlement and transport areas to population,Annual values,,,,100.85
2015,2015 = 100,Proportion of settlement and transport areas to population,Annual values,,,,100.0
2016,2015 = 100,Proportion of settlement and transport areas to population,Annual values,|,,,99.962
2017,2015 = 100,Proportion of settlement and transport areas to population,Annual values,,,,100.142
2018,2015 = 100,Proportion of settlement and transport areas to population,Annual values,,,,100.501
2019,2015 = 100,Proportion of settlement and transport areas to population,Annual values,,,,100.654
2020,2015 = 100,Proportion of settlement and transport areas to population,Annual values,,,,101.097
2021,2015 = 100,Proportion of settlement and transport areas to population,Annual values,,,,101.42
2022,2015 = 100,Proportion of settlement and transport areas to population,Annual values,r,,,101.881
2023,2015 = 100,Proportion of settlement and transport areas to population,Annual values,r,,,101.921
2024,2015 = 100,Proportion of settlement and transport areas to population,Annual values,…,,,
2010,Percentage,Land consumption rate,Annual values,,,,0.591
2011,Percentage,Land consumption rate,Annual values,,,,0.902
2012,Percentage,Land consumption rate,Annual values,,,,0.489
2013,Percentage,Land consumption rate,Annual values,,,,0.473
2014,Percentage,Land consumption rate,Annual values,,,,0.612
2015,Percentage,Land consumption rate,Annual values,r,,,0.351
2016,Percentage,Land consumption rate,Annual values,|,,,0.382
2017,Percentage,Land consumption rate,Annual values,,,,0.509
2018,Percentage,Land consumption rate,Annual values,,,,0.634
2019,Percentage,Land consumption rate,Annual values,,,,0.33
2020,Percentage,Land consumption rate,Annual values,,,,0.426
2021,Percentage,Land consumption rate,Annual values,,,,0.419
2022,Percentage,Land consumption rate,Annual values,,,,0.312
2023,Percentage,Land consumption rate,Annual values,,,,0.445
2024,Percentage,Land consumption rate,Annual values,…,,,
2010,Percentage,Population growth rate,Annual values,,,,-0.154
2011,Percentage,Population growth rate,Annual values,,,,0.132
2012,Percentage,Population growth rate,Annual values,,,,0.244
2013,Percentage,Population growth rate,Annual values,,,,0.302
2014,Percentage,Population growth rate,Annual values,,,,0.531
2015,Percentage,Population growth rate,Annual values,,,,1.197
2016,Percentage,Population growth rate,Annual values,|,,,0.42
2017,Percentage,Population growth rate,Annual values,,,,0.327
2018,Percentage,Population growth rate,Annual values,,,,0.274
2019,Percentage,Population growth rate,Annual values,,,,0.178
2020,Percentage,Population growth rate,Annual values,,,,-0.014
2021,Percentage,Population growth rate,Annual values,,,,0.099
2022,Percentage,Population growth rate,Annual values,r,,,-0.143
2023,Percentage,Population growth rate,Annual values,r,,,0.405
2024,Percentage,Population growth rate,Annual values,,,,0.145
2010,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,
2011,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,
2012,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,
2013,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,4.691
2014,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,2.046
2015,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,0.844
2016,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,|,,,0.74
2017,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,0.747
2018,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,0.843
2019,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,1.545
2020,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,2.48
2021,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,3.373
2022,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,r,,,12.432
2023,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,r,,,4.61
2024,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,…,,,
2010,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,
2011,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,98.632
2012,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,99.299
2013,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,99.777
2014,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,100.091
2015,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,100.0
2016,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,|,,,99.84
2017,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,99.685
2018,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,99.601
2019,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,99.764
2020,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,100.046
2021,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,100.363
2022,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,r,,,100.706
2023,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,r,,,101.021
2024,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,…,,,
2010,Percentage,Land consumption rate,Moving four-year average,,,,
2011,Percentage,Land consumption rate,Moving four-year average,,,,
2012,Percentage,Land consumption rate,Moving four-year average,,,,0.647
2013,Percentage,Land consumption rate,Moving four-year average,,,,0.614
2014,Percentage,Land consumption rate,Moving four-year average,,,,0.619
2015,Percentage,Land consumption rate,Moving four-year average,,,,0.482
2016,Percentage,Land consumption rate,Moving four-year average,|,,,0.455
2017,Percentage,Land consumption rate,Moving four-year average,,,,0.464
2018,Percentage,Land consumption rate,Moving four-year average,,,,0.469
2019,Percentage,Land consumption rate,Moving four-year average,,,,0.464
2020,Percentage,Land consumption rate,Moving four-year average,,,,0.474
2021,Percentage,Land consumption rate,Moving four-year average,,,,0.452
2022,Percentage,Land consumption rate,Moving four-year average,,,,0.372
2023,Percentage,Land consumption rate,Moving four-year average,,,,0.4
2024,Percentage,Land consumption rate,Moving four-year average,…,,,
2010,Percentage,Population growth rate,Moving four-year average,.,,,
2011,Percentage,Population growth rate,Moving four-year average,.,,,
2012,Percentage,Population growth rate,Moving four-year average,,,,-0.03
2013,Percentage,Population growth rate,Moving four-year average,,,,0.131
2014,Percentage,Population growth rate,Moving four-year average,,,,0.303
2015,Percentage,Population growth rate,Moving four-year average,,,,0.57
2016,Percentage,Population growth rate,Moving four-year average,|,,,0.615
2017,Percentage,Population growth rate,Moving four-year average,,,,0.621
2018,Percentage,Population growth rate,Moving four-year average,,,,0.556
2019,Percentage,Population growth rate,Moving four-year average,,,,0.3
2020,Percentage,Population growth rate,Moving four-year average,,,,0.191
2021,Percentage,Population growth rate,Moving four-year average,,,,0.134
2022,Percentage,Population growth rate,Moving four-year average,r,,,0.03
2023,Percentage,Population growth rate,Moving four-year average,r,,,0.087
2024,Percentage,Population growth rate,Moving four-year average,,,,0.127
