Year,Units,Time series,Value
2010,Percentage,Municipal solid waste regularly collected and treated,100.0
2011,Percentage,Municipal solid waste regularly collected and treated,100.0
2012,Percentage,Municipal solid waste regularly collected and treated,100.0
2013,Percentage,Municipal solid waste regularly collected and treated,100.0
2014,Percentage,Municipal solid waste regularly collected and treated,100.0
2015,Percentage,Municipal solid waste regularly collected and treated,100.0
2016,Percentage,Municipal solid waste regularly collected and treated,100.0
2017,Percentage,Municipal solid waste regularly collected and treated,100.0
2018,Percentage,Municipal solid waste regularly collected and treated,100.0
2019,Percentage,Municipal solid waste regularly collected and treated,100.0
2020,Percentage,Municipal solid waste regularly collected and treated,100.0
2010,"1,000 tonnes",Municipal solid waste in total,49237.0
2011,"1,000 tonnes",Municipal solid waste in total,50237.0
2012,"1,000 tonnes",Municipal solid waste in total,49759.0
2013,"1,000 tonnes",Municipal solid waste in total,49570.0
2014,"1,000 tonnes",Municipal solid waste in total,51102.0
2015,"1,000 tonnes",Municipal solid waste in total,51625.0
2016,"1,000 tonnes",Municipal solid waste in total,52133.0
2017,"1,000 tonnes",Municipal solid waste in total,51790.0
2018,"1,000 tonnes",Municipal solid waste in total,
2019,"1,000 tonnes",Municipal solid waste in total,
2020,"1,000 tonnes",Municipal solid waste in total,
