Year,Environmental protection and/or resource management sector,Economic activity,Sector,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2022,,,,,,,Output of the environmental goods and services sector (EGSS),286978.155
2023,,,,p,,,Output of the environmental goods and services sector (EGSS),284514.935
2022,Air and climate (CEP 01),,,,,,Output of the environmental goods and services sector (EGSS),
2023,Air and climate (CEP 01),,,,,,Output of the environmental goods and services sector (EGSS),24420.372
2024,Air and climate (CEP 01),,,,,,Output of the environmental goods and services sector (EGSS),
2022,Energy from renewable sources (CEP 0201),,,,,,Output of the environmental goods and services sector (EGSS),
2023,Energy from renewable sources (CEP 0201),,,,,,Output of the environmental goods and services sector (EGSS),101940.629
2024,Energy from renewable sources (CEP 0201),,,,,,Output of the environmental goods and services sector (EGSS),
2022,Energy savings and management (CEP 0202),,,,,,Output of the environmental goods and services sector (EGSS),
2023,Energy savings and management (CEP 0202),,,,,,Output of the environmental goods and services sector (EGSS),34654.472
2024,Energy savings and management (CEP 0202),,,,,,Output of the environmental goods and services sector (EGSS),
2022,Wastewater management (CEP 0301),,,,,,Output of the environmental goods and services sector (EGSS),
2023,Wastewater management (CEP 0301),,,,,,Output of the environmental goods and services sector (EGSS),33969.816
2024,Wastewater management (CEP 0301),,,,,,Output of the environmental goods and services sector (EGSS),
2022,Water savings and management of natural water resources (CEP 0302),,,,,,Output of the environmental goods and services sector (EGSS),
2023,Water savings and management of natural water resources (CEP 0302),,,,,,Output of the environmental goods and services sector (EGSS),91.89
2024,Water savings and management of natural water resources (CEP 0302),,,,,,Output of the environmental goods and services sector (EGSS),
2022,Waste management (CEP 0401),,,,,,Output of the environmental goods and services sector (EGSS),
2023,Waste management (CEP 0401),,,,,,Output of the environmental goods and services sector (EGSS),41310.205
2024,Waste management (CEP 0401),,,,,,Output of the environmental goods and services sector (EGSS),
2022,Materials recovery and savings (CEP 0402),,,,,,Output of the environmental goods and services sector (EGSS),
2023,Materials recovery and savings (CEP 0402),,,,,,Output of the environmental goods and services sector (EGSS),21448.488
2024,Materials recovery and savings (CEP 0402),,,,,,Output of the environmental goods and services sector (EGSS),
2022,"Protection of soil, surface and groundwater (CEP 0501)",,,,,,Output of the environmental goods and services sector (EGSS),
2023,"Protection of soil, surface and groundwater (CEP 0501)",,,,,,Output of the environmental goods and services sector (EGSS),8482.142
2024,"Protection of soil, surface and groundwater (CEP 0501)",,,,,,Output of the environmental goods and services sector (EGSS),
2022,Protection of biodiversity and landscape (CEP 0502),,,,,,Output of the environmental goods and services sector (EGSS),
2023,Protection of biodiversity and landscape (CEP 0502),,,,,,Output of the environmental goods and services sector (EGSS),2525.694
2024,Protection of biodiversity and landscape (CEP 0502),,,,,,Output of the environmental goods and services sector (EGSS),
2022,Management of forest resources (CEP 0503),,,,,,Output of the environmental goods and services sector (EGSS),
2023,Management of forest resources (CEP 0503),,,,,,Output of the environmental goods and services sector (EGSS),3548.487
