Year,Sex,COMMENT_OBS_0,Value
2010,,,18.23
2011,,,18.55
2012,,,18.83
2013,,,19.55
2014,,,20.53
2015,,,21.76
2016,,,22.82
2017,,,23.98
2018,,,23.89
2019,,,23.08
2020,,,23.52
2021,,,22.59
2022,,,24.06
2023,,,26.35
2010,Female,,19.61
2011,Female,,19.3
2012,Female,,20.37
2013,Female,,20.07
2014,Female,,21.82
2015,Female,,21.09
2016,Female,,22.08
2017,Female,,22.25
2018,Female,,22.46
2019,Female,,22.18
2020,Female,,23.54
2021,Female,,19.73
2022,Female,r,22.14
2023,Female,,24.06
2010,Male,,18.15
2011,Male,,18.5
2012,Male,,18.73
2013,Male,,19.51
2014,Male,,20.45
2015,Male,,21.8
2016,Male,,22.86
2017,Male,,24.08
2018,Male,,23.99
2019,Male,,23.14
2020,Male,,23.52
2021,Male,,22.76
2022,Male,r,24.18
2023,Male,,26.48
