Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,‒,,,At least one population and housing census in the last 10 years conducted,0
2011,,,,At least one population and housing census in the last 10 years conducted,1
2012,,,,At least one population and housing census in the last 10 years conducted,1
2013,,,,At least one population and housing census in the last 10 years conducted,1
2014,,,,At least one population and housing census in the last 10 years conducted,1
2015,,,,At least one population and housing census in the last 10 years conducted,1
2016,,,,At least one population and housing census in the last 10 years conducted,1
2017,,,,At least one population and housing census in the last 10 years conducted,1
2018,,,,At least one population and housing census in the last 10 years conducted,1
2019,,,,At least one population and housing census in the last 10 years conducted,1
2020,,,,At least one population and housing census in the last 10 years conducted,1
2021,‒,,,At least one population and housing census in the last 10 years conducted,0
2022,,,,At least one population and housing census in the last 10 years conducted,1
2023,,,,At least one population and housing census in the last 10 years conducted,1
2024,,,,At least one population and housing census in the last 10 years conducted,1
2025,,,,At least one population and housing census in the last 10 years conducted,1
2010,s,,,Birth registration,1
2011,s,,,Birth registration,1
2012,s,,,Birth registration,1
2013,s,,,Birth registration,1
2014,s,,,Birth registration,1
2015,s,,,Birth registration,1
2016,s,,,Birth registration,1
2017,s,,,Birth registration,1
2018,s,,,Birth registration,1
2019,s,,,Birth registration,1
2020,s,,,Birth registration,1
2021,s,,,Birth registration,1
2022,s,,,Birth registration,1
2023,s,,,Birth registration,1
2024,s,,,Birth registration,1
2025,s,,,Birth registration,1
2010,s,,,Death registration,1
2011,s,,,Death registration,1
2012,s,,,Death registration,1
2013,s,,,Death registration,1
2014,s,,,Death registration,1
2015,s,,,Death registration,1
2016,s,,,Death registration,1
2017,s,,,Death registration,1
2018,s,,,Death registration,1
2019,s,,,Death registration,1
2020,s,,,Death registration,1
2021,s,,,Death registration,1
2022,s,,,Death registration,1
2023,s,,,Death registration,1
2024,s,,,Death registration,1
2025,s,,,Death registration,1
