Year,Units,Age group,Sex,Form of exploitation,Value
2010,"Per 100,000 inhabitants",,,,0.81
2011,"Per 100,000 inhabitants",,,,0.84
2012,"Per 100,000 inhabitants",,,,0.78
2013,"Per 100,000 inhabitants",,,,0.75
2014,"Per 100,000 inhabitants",,,,0.72
2015,"Per 100,000 inhabitants",,,,0.58
2016,"Per 100,000 inhabitants",,,,0.65
2017,"Per 100,000 inhabitants",,,,0.81
2018,"Per 100,000 inhabitants",,,,0.59
2019,"Per 100,000 inhabitants",,,,0.57
2020,"Per 100,000 inhabitants",,,,0.58
2021,"Per 100,000 inhabitants",,,,0.68
2022,"Per 100,000 inhabitants",,,,1.78
2010,"Per 100,000 inhabitants",,,Labour exploitation,0.05
2011,"Per 100,000 inhabitants",,,Labour exploitation,0.04
2012,"Per 100,000 inhabitants",,,Labour exploitation,0.02
2013,"Per 100,000 inhabitants",,,Labour exploitation,0.08
2014,"Per 100,000 inhabitants",,,Labour exploitation,0.03
2015,"Per 100,000 inhabitants",,,Labour exploitation,0.07
2016,"Per 100,000 inhabitants",,,Labour exploitation,0.06
2017,"Per 100,000 inhabitants",,,Labour exploitation,0.22
2018,"Per 100,000 inhabitants",,,Labour exploitation,0.08
2019,"Per 100,000 inhabitants",,,Labour exploitation,0.05
2020,"Per 100,000 inhabitants",,,Labour exploitation,0.09
2021,"Per 100,000 inhabitants",,,Labour exploitation,0.18
2022,"Per 100,000 inhabitants",,,Labour exploitation,1.22
2010,"Per 100,000 inhabitants",,,Sexual exploitation,0.76
2011,"Per 100,000 inhabitants",,,Sexual exploitation,0.8
2012,"Per 100,000 inhabitants",,,Sexual exploitation,0.76
2013,"Per 100,000 inhabitants",,,Sexual exploitation,0.67
2014,"Per 100,000 inhabitants",,,Sexual exploitation,0.69
2015,"Per 100,000 inhabitants",,,Sexual exploitation,0.51
2016,"Per 100,000 inhabitants",,,Sexual exploitation,0.59
2017,"Per 100,000 inhabitants",,,Sexual exploitation,0.59
2018,"Per 100,000 inhabitants",,,Sexual exploitation,0.52
2019,"Per 100,000 inhabitants",,,Sexual exploitation,0.51
2020,"Per 100,000 inhabitants",,,Sexual exploitation,0.49
2021,"Per 100,000 inhabitants",,,Sexual exploitation,0.5
2022,"Per 100,000 inhabitants",,,Sexual exploitation,0.57
2010,Number,,,,651.0
2011,Number,,,,671.0
2012,Number,,,,626.0
2013,Number,,,,603.0
2014,Number,,,,583.0
2015,Number,,,,470.0
2016,Number,,,,536.0
2017,Number,,,,669.0
2018,Number,,,,493.0
2019,Number,,,,470.0
2020,Number,,,,479.0
2021,Number,,,,564.0
2022,Number,,,,1495.0
2010,Number,,,Labour exploitation,41.0
2011,Number,,,Labour exploitation,32.0
2012,Number,,,Labour exploitation,14.0
2013,Number,,,Labour exploitation,61.0
2014,Number,,,Labour exploitation,26.0
2015,Number,,,Labour exploitation,54.0
2016,Number,,,Labour exploitation,48.0
2017,Number,,,Labour exploitation,180.0
2018,Number,,,Labour exploitation,63.0
2019,Number,,,Labour exploitation,43.0
2020,Number,,,Labour exploitation,73.0
2021,Number,,,Labour exploitation,147.0
2022,Number,,,Labour exploitation,1019.0
2010,Number,,,Sexual exploitation,610.0
2011,Number,,,Sexual exploitation,639.0
2012,Number,,,Sexual exploitation,612.0
2013,Number,,,Sexual exploitation,542.0
2014,Number,,,Sexual exploitation,557.0
2015,Number,,,Sexual exploitation,416.0
2016,Number,,,Sexual exploitation,488.0
2017,Number,,,Sexual exploitation,489.0
2018,Number,,,Sexual exploitation,430.0
2019,Number,,,Sexual exploitation,427.0
2020,Number,,,Sexual exploitation,406.0
2021,Number,,,Sexual exploitation,417.0
2022,Number,,,Sexual exploitation,476.0
2010,Number,13 years and younger,,Sexual exploitation,13.0
2011,Number,13 years and younger,,Sexual exploitation,13.0
2012,Number,13 years and younger,,Sexual exploitation,12.0
2013,Number,13 years and younger,,Sexual exploitation,9.0
2014,Number,13 years and younger,,Sexual exploitation,5.0
2015,Number,13 years and younger,,Sexual exploitation,6.0
2016,Number,13 years and younger,,Sexual exploitation,12.0
2017,Number,13 years and younger,,Sexual exploitation,16.0
2018,Number,13 years and younger,,Sexual exploitation,4.0
2019,Number,13 years and younger,,Sexual exploitation,5.0
2020,Number,13 years and younger,,Sexual exploitation,13.0
2021,Number,13 years and younger,,Sexual exploitation,1.0
2022,Number,13 years and younger,,Sexual exploitation,7.0
2010,Number,14 to under 18 years,,Sexual exploitation,79.0
2011,Number,14 to under 18 years,,Sexual exploitation,77.0
2012,Number,14 to under 18 years,,Sexual exploitation,88.0
2013,Number,14 to under 18 years,,Sexual exploitation,61.0
2014,Number,14 to under 18 years,,Sexual exploitation,52.0
2015,Number,14 to under 18 years,,Sexual exploitation,71.0
2016,Number,14 to under 18 years,,Sexual exploitation,84.0
2017,Number,14 to under 18 years,,Sexual exploitation,46.0
2018,Number,14 to under 18 years,,Sexual exploitation,64.0
2019,Number,14 to under 18 years,,Sexual exploitation,56.0
2020,Number,14 to under 18 years,,Sexual exploitation,66.0
2021,Number,14 to under 18 years,,Sexual exploitation,53.0
2022,Number,14 to under 18 years,,Sexual exploitation,49.0
2010,Number,18 to under 21 years,,Sexual exploitation,254.0
2011,Number,18 to under 21 years,,Sexual exploitation,268.0
2012,Number,18 to under 21 years,,Sexual exploitation,223.0
2013,Number,18 to under 21 years,,Sexual exploitation,209.0
2014,Number,18 to under 21 years,,Sexual exploitation,209.0
2015,Number,18 to under 21 years,,Sexual exploitation,148.0
2016,Number,18 to under 21 years,,Sexual exploitation,118.0
2017,Number,18 to under 21 years,,Sexual exploitation,157.0
2018,Number,18 to under 21 years,,Sexual exploitation,130.0
2019,Number,18 to under 21 years,,Sexual exploitation,76.0
2020,Number,18 to under 21 years,,Sexual exploitation,88.0
2021,Number,18 to under 21 years,,Sexual exploitation,77.0
2022,Number,18 to under 21 years,,Sexual exploitation,96.0
2010,Number,21 to under 25 years,,Sexual exploitation,127.0
2011,Number,21 to under 25 years,,Sexual exploitation,135.0
2012,Number,21 to under 25 years,,Sexual exploitation,123.0
2013,Number,21 to under 25 years,,Sexual exploitation,111.0
2014,Number,21 to under 25 years,,Sexual exploitation,115.0
2015,Number,21 to under 25 years,,Sexual exploitation,68.0
2016,Number,21 to under 25 years,,Sexual exploitation,109.0
2017,Number,21 to under 25 years,,Sexual exploitation,110.0
2018,Number,21 to under 25 years,,Sexual exploitation,93.0
2019,Number,21 to under 25 years,,Sexual exploitation,79.0
2020,Number,21 to under 25 years,,Sexual exploitation,78.0
2021,Number,21 to under 25 years,,Sexual exploitation,83.0
2022,Number,21 to under 25 years,,Sexual exploitation,91.0
2010,Number,25 years and older,,Sexual exploitation,129.0
2011,Number,25 years and older,,Sexual exploitation,133.0
2012,Number,25 years and older,,Sexual exploitation,156.0
2013,Number,25 years and older,,Sexual exploitation,142.0
2014,Number,25 years and older,,Sexual exploitation,164.0
2015,Number,25 years and older,,Sexual exploitation,98.0
2016,Number,25 years and older,,Sexual exploitation,142.0
2017,Number,25 years and older,,Sexual exploitation,149.0
2018,Number,25 years and older,,Sexual exploitation,126.0
2019,Number,25 years and older,,Sexual exploitation,205.0
2020,Number,25 years and older,,Sexual exploitation,146.0
2021,Number,25 years and older,,Sexual exploitation,181.0
2022,Number,25 years and older,,Sexual exploitation,223.0
2010,Number,Unknown age,,Sexual exploitation,8.0
2011,Number,Unknown age,,Sexual exploitation,13.0
2012,Number,Unknown age,,Sexual exploitation,10.0
2013,Number,Unknown age,,Sexual exploitation,10.0
2014,Number,Unknown age,,Sexual exploitation,12.0
2015,Number,Unknown age,,Sexual exploitation,25.0
2016,Number,Unknown age,,Sexual exploitation,23.0
2017,Number,Unknown age,,Sexual exploitation,11.0
2018,Number,Unknown age,,Sexual exploitation,13.0
2019,Number,Unknown age,,Sexual exploitation,6.0
2020,Number,Unknown age,,Sexual exploitation,15.0
2021,Number,Unknown age,,Sexual exploitation,22.0
2022,Number,Unknown age,,Sexual exploitation,10.0
2010,Number,,Female,Labour exploitation,
2011,Number,,Female,Labour exploitation,
2012,Number,,Female,Labour exploitation,7.0
2013,Number,,Female,Labour exploitation,13.0
2014,Number,,Female,Labour exploitation,4.0
2015,Number,,Female,Labour exploitation,8.0
2016,Number,,Female,Labour exploitation,13.0
2017,Number,,Female,Labour exploitation,25.0
2018,Number,,Female,Labour exploitation,8.0
2019,Number,,Female,Labour exploitation,19.0
2020,Number,,Female,Labour exploitation,18.0
2021,Number,,Female,Labour exploitation,72.0
2022,Number,,Female,Labour exploitation,266.0
2010,Number,,Male,Labour exploitation,
2011,Number,,Male,Labour exploitation,
2012,Number,,Male,Labour exploitation,5.0
2013,Number,,Male,Labour exploitation,47.0
2014,Number,,Male,Labour exploitation,22.0
