Year,Antimicrobial-resistant organism,Data source,Value
2010,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),World Health Organization (WHO),
2011,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),World Health Organization (WHO),
2012,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),World Health Organization (WHO),
2013,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),World Health Organization (WHO),
2014,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),World Health Organization (WHO),
2015,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),World Health Organization (WHO),
2016,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),World Health Organization (WHO),
2017,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),World Health Organization (WHO),
2018,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),World Health Organization (WHO),12.18
2019,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),World Health Organization (WHO),
2010,Methicillin-resistant Staphylococcus aureus (MRSA),World Health Organization (WHO),
2011,Methicillin-resistant Staphylococcus aureus (MRSA),World Health Organization (WHO),
2012,Methicillin-resistant Staphylococcus aureus (MRSA),World Health Organization (WHO),
2013,Methicillin-resistant Staphylococcus aureus (MRSA),World Health Organization (WHO),
2014,Methicillin-resistant Staphylococcus aureus (MRSA),World Health Organization (WHO),
2015,Methicillin-resistant Staphylococcus aureus (MRSA),World Health Organization (WHO),
2016,Methicillin-resistant Staphylococcus aureus (MRSA),World Health Organization (WHO),
2017,Methicillin-resistant Staphylococcus aureus (MRSA),World Health Organization (WHO),
2018,Methicillin-resistant Staphylococcus aureus (MRSA),World Health Organization (WHO),7.56
2019,Methicillin-resistant Staphylococcus aureus (MRSA),World Health Organization (WHO),
2010,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),European Centre for Disease Prevention and Control (ECDC),8.35820895
2011,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),European Centre for Disease Prevention and Control (ECDC),7.96265788
2012,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),European Centre for Disease Prevention and Control (ECDC),8.83898709
2013,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),European Centre for Disease Prevention and Control (ECDC),10.74039362
2014,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),European Centre for Disease Prevention and Control (ECDC),10.53474223
2015,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),European Centre for Disease Prevention and Control (ECDC),10.29786291
2016,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),European Centre for Disease Prevention and Control (ECDC),11.09947643
2017,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),European Centre for Disease Prevention and Control (ECDC),12.28139037
2018,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),European Centre for Disease Prevention and Control (ECDC),12.19700759
2019,Escherichia coli with resistance to 3rd generation cephalosporins (e.g. ESBL- E. coli),European Centre for Disease Prevention and Control (ECDC),11.50642805
2010,Methicillin-resistant Staphylococcus aureus (MRSA),European Centre for Disease Prevention and Control (ECDC),20.9090909
2011,Methicillin-resistant Staphylococcus aureus (MRSA),European Centre for Disease Prevention and Control (ECDC),16.08040201
2012,Methicillin-resistant Staphylococcus aureus (MRSA),European Centre for Disease Prevention and Control (ECDC),15.37261022
2013,Methicillin-resistant Staphylococcus aureus (MRSA),European Centre for Disease Prevention and Control (ECDC),12.81969309
2014,Methicillin-resistant Staphylococcus aureus (MRSA),European Centre for Disease Prevention and Control (ECDC),12.90527654
2015,Methicillin-resistant Staphylococcus aureus (MRSA),European Centre for Disease Prevention and Control (ECDC),11.25498007
2016,Methicillin-resistant Staphylococcus aureus (MRSA),European Centre for Disease Prevention and Control (ECDC),10.17636326
2017,Methicillin-resistant Staphylococcus aureus (MRSA),European Centre for Disease Prevention and Control (ECDC),9.07982937
2018,Methicillin-resistant Staphylococcus aureus (MRSA),European Centre for Disease Prevention and Control (ECDC),7.66907199
2019,Methicillin-resistant Staphylococcus aureus (MRSA),European Centre for Disease Prevention and Control (ECDC),6.71129707
