Year,Units,purpose,type of official development assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Scholarships,commitments,,,,134.336
2011,Million EUR,Scholarships,commitments,,,,129.642
2012,Million EUR,Scholarships,commitments,,,,116.643
2013,Million EUR,Scholarships,commitments,,,,100.763
2014,Million EUR,Scholarships,commitments,,,,64.74
2015,Million EUR,Scholarships,commitments,,,,85.092
2016,Million EUR,Scholarships,commitments,,,,75.084
2017,Million EUR,Scholarships,commitments,,,,63.658
2018,Million EUR,Scholarships,commitments,,,,65.25
2019,Million EUR,Scholarships,commitments,,,,67.675
2020,Million EUR,Scholarships,commitments,,,,70.268
2021,Million EUR,Scholarships,commitments,,,,45.284
2022,Million EUR,Scholarships,commitments,,,,28.668
2023,Million EUR,Scholarships,commitments,,,,17.728
2024,Million EUR,Scholarships,commitments,,,,17.614
2010,Million EUR,Imputed student costs,commitments,,,,669.645
2011,Million EUR,Imputed student costs,commitments,,,,665.131
2012,Million EUR,Imputed student costs,commitments,,,,690.405
2013,Million EUR,Imputed student costs,commitments,,,,670.771
2014,Million EUR,Imputed student costs,commitments,,,,739.829
2015,Million EUR,Imputed student costs,commitments,,,,845.527
2016,Million EUR,Imputed student costs,commitments,,,,904.583
2017,Million EUR,Imputed student costs,commitments,,,,998.585
2018,Million EUR,Imputed student costs,commitments,,,,1121.055
2019,Million EUR,Imputed student costs,commitments,,,,1318.333
2020,Million EUR,Imputed student costs,commitments,,,,1488.856
2021,Million EUR,Imputed student costs,commitments,,,,1669.123
2022,Million EUR,Imputed student costs,commitments,,,,1779.444
2023,Million EUR,Imputed student costs,commitments,,,,1980.449
2024,Million EUR,Imputed student costs,commitments,,,,2196.572
2010,Million EUR,Scholarships,gross disbursements,,,,130.229
2011,Million EUR,Scholarships,gross disbursements,,,,120.753
2012,Million EUR,Scholarships,gross disbursements,,,,113.189
2013,Million EUR,Scholarships,gross disbursements,,,,96.087
2014,Million EUR,Scholarships,gross disbursements,,,,57.268
2015,Million EUR,Scholarships,gross disbursements,,,,82.565
2016,Million EUR,Scholarships,gross disbursements,,,,74.676
2017,Million EUR,Scholarships,gross disbursements,,,,68.291
2018,Million EUR,Scholarships,gross disbursements,,,,65.998
2019,Million EUR,Scholarships,gross disbursements,,,,65.952
2020,Million EUR,Scholarships,gross disbursements,,,,72.176
2021,Million EUR,Scholarships,gross disbursements,,,,41.849
2022,Million EUR,Scholarships,gross disbursements,,,,21.146
2023,Million EUR,Scholarships,gross disbursements,,,,16.15
2024,Million EUR,Scholarships,gross disbursements,,,,18.603
2010,Million EUR,Imputed student costs,gross disbursements,,,,669.645
2011,Million EUR,Imputed student costs,gross disbursements,,,,665.131
2012,Million EUR,Imputed student costs,gross disbursements,,,,690.405
2013,Million EUR,Imputed student costs,gross disbursements,,,,670.771
2014,Million EUR,Imputed student costs,gross disbursements,,,,739.829
2015,Million EUR,Imputed student costs,gross disbursements,,,,845.527
2016,Million EUR,Imputed student costs,gross disbursements,,,,904.583
2017,Million EUR,Imputed student costs,gross disbursements,,,,998.585
2018,Million EUR,Imputed student costs,gross disbursements,,,,1121.055
2019,Million EUR,Imputed student costs,gross disbursements,,,,1318.333
2020,Million EUR,Imputed student costs,gross disbursements,,,,1488.856
2021,Million EUR,Imputed student costs,gross disbursements,,,,1669.123
2022,Million EUR,Imputed student costs,gross disbursements,,,,1779.444
2023,Million EUR,Imputed student costs,gross disbursements,,,,1980.449
2024,Million EUR,Imputed student costs,gross disbursements,,,,2196.572
2010,"Million USD, constant prices (2024)",Scholarships,commitments,,,,206.08
2011,"Million USD, constant prices (2024)",Scholarships,commitments,,,,196.46
2012,"Million USD, constant prices (2024)",Scholarships,commitments,,,,174.26
2013,"Million USD, constant prices (2024)",Scholarships,commitments,,,,147.59
2014,"Million USD, constant prices (2024)",Scholarships,commitments,,,,93.06
2015,"Million USD, constant prices (2024)",Scholarships,commitments,,,,120.22
2016,"Million USD, constant prices (2024)",Scholarships,commitments,,,,104.76
2017,"Million USD, constant prices (2024)",Scholarships,commitments,,,,87.53
2018,"Million USD, constant prices (2024)",Scholarships,commitments,,,,88.07
2019,"Million USD, constant prices (2024)",Scholarships,commitments,,,,89.54
