Year,Units,Type of waste treatment,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Kilogram per capita,,,,,a) Hazardous waste generated per capita,244.0
2011,Kilogram per capita,,.,,,a) Hazardous waste generated per capita,
2012,Kilogram per capita,,,,,a) Hazardous waste generated per capita,273.0
2013,Kilogram per capita,,.,,,a) Hazardous waste generated per capita,
2014,Kilogram per capita,,,,,a) Hazardous waste generated per capita,269.0
2015,Kilogram per capita,,.,,,a) Hazardous waste generated per capita,
2016,Kilogram per capita,,,,,a) Hazardous waste generated per capita,280.0
2017,Kilogram per capita,,.,,,a) Hazardous waste generated per capita,
2018,Kilogram per capita,,,,,a) Hazardous waste generated per capita,292.0
2019,Kilogram per capita,,.,,,a) Hazardous waste generated per capita,
2020,Kilogram per capita,,,,,a) Hazardous waste generated per capita,282.0
2021,Kilogram per capita,,.,,,a) Hazardous waste generated per capita,
2022,Kilogram per capita,,,,,a) Hazardous waste generated per capita,272.0
2010,Percentage,,,,,b) Hazardous waste treated,100.0
2011,Percentage,,.,,,b) Hazardous waste treated,
2012,Percentage,,,,,b) Hazardous waste treated,100.0
2013,Percentage,,.,,,b) Hazardous waste treated,
2014,Percentage,,,,,b) Hazardous waste treated,100.0
2015,Percentage,,.,,,b) Hazardous waste treated,
2016,Percentage,,,,,b) Hazardous waste treated,100.0
2017,Percentage,,.,,,b) Hazardous waste treated,
2018,Percentage,,,,,b) Hazardous waste treated,100.0
2019,Percentage,,.,,,b) Hazardous waste treated,
2020,Percentage,,,,,b) Hazardous waste treated,100.0
2021,Percentage,,.,,,b) Hazardous waste treated,
2022,Percentage,,,,,b) Hazardous waste treated,100.0
2010,Percentage,Energy recovery,,,,b) Hazardous waste treated,13.6
2011,Percentage,Energy recovery,.,,,b) Hazardous waste treated,
2012,Percentage,Energy recovery,,,,b) Hazardous waste treated,15.0
2013,Percentage,Energy recovery,.,,,b) Hazardous waste treated,
2014,Percentage,Energy recovery,,,,b) Hazardous waste treated,13.6
2015,Percentage,Energy recovery,.,,,b) Hazardous waste treated,
2016,Percentage,Energy recovery,,,,b) Hazardous waste treated,13.7
2017,Percentage,Energy recovery,.,,,b) Hazardous waste treated,
2018,Percentage,Energy recovery,,,,b) Hazardous waste treated,14.0
2019,Percentage,Energy recovery,.,,,b) Hazardous waste treated,
2020,Percentage,Energy recovery,,,,b) Hazardous waste treated,14.3
2021,Percentage,Energy recovery,.,,,b) Hazardous waste treated,
2022,Percentage,Energy recovery,,,,b) Hazardous waste treated,13.9
2010,Percentage,Incineration,,,,b) Hazardous waste treated,5.9
2011,Percentage,Incineration,.,,,b) Hazardous waste treated,
2012,Percentage,Incineration,,,,b) Hazardous waste treated,5.4
2013,Percentage,Incineration,.,,,b) Hazardous waste treated,
2014,Percentage,Incineration,,,,b) Hazardous waste treated,6.2
2015,Percentage,Incineration,.,,,b) Hazardous waste treated,
2016,Percentage,Incineration,,,,b) Hazardous waste treated,4.9
2017,Percentage,Incineration,.,,,b) Hazardous waste treated,
2018,Percentage,Incineration,,,,b) Hazardous waste treated,4.2
2019,Percentage,Incineration,.,,,b) Hazardous waste treated,
2020,Percentage,Incineration,,,,b) Hazardous waste treated,4.9
2021,Percentage,Incineration,.,,,b) Hazardous waste treated,
2022,Percentage,Incineration,,,,b) Hazardous waste treated,4.4
2010,Percentage,Recovery other than energy recovery,r,,,b) Hazardous waste treated,59.5
2011,Percentage,Recovery other than energy recovery,.,,,b) Hazardous waste treated,
2012,Percentage,Recovery other than energy recovery,,,,b) Hazardous waste treated,56.5
2013,Percentage,Recovery other than energy recovery,.,,,b) Hazardous waste treated,
2014,Percentage,Recovery other than energy recovery,,,,b) Hazardous waste treated,57.6
2015,Percentage,Recovery other than energy recovery,.,,,b) Hazardous waste treated,
2016,Percentage,Recovery other than energy recovery,,,,b) Hazardous waste treated,57.1
2017,Percentage,Recovery other than energy recovery,.,,,b) Hazardous waste treated,
2018,Percentage,Recovery other than energy recovery,,,,b) Hazardous waste treated,56.0
2019,Percentage,Recovery other than energy recovery,.,,,b) Hazardous waste treated,
2020,Percentage,Recovery other than energy recovery,,,,b) Hazardous waste treated,55.5
2021,Percentage,Recovery other than energy recovery,.,,,b) Hazardous waste treated,
2022,Percentage,Recovery other than energy recovery,,,,b) Hazardous waste treated,56.0
2010,Percentage,Deposit onto or into land and land treatment and release into water bodies,,,,b) Hazardous waste treated,20.9
2011,Percentage,Deposit onto or into land and land treatment and release into water bodies,.,,,b) Hazardous waste treated,
2012,Percentage,Deposit onto or into land and land treatment and release into water bodies,,,,b) Hazardous waste treated,23.1
2013,Percentage,Deposit onto or into land and land treatment and release into water bodies,.,,,b) Hazardous waste treated,
2014,Percentage,Deposit onto or into land and land treatment and release into water bodies,,,,b) Hazardous waste treated,22.7
2015,Percentage,Deposit onto or into land and land treatment and release into water bodies,.,,,b) Hazardous waste treated,
2016,Percentage,Deposit onto or into land and land treatment and release into water bodies,,,,b) Hazardous waste treated,24.3
2017,Percentage,Deposit onto or into land and land treatment and release into water bodies,.,,,b) Hazardous waste treated,
2018,Percentage,Deposit onto or into land and land treatment and release into water bodies,,,,b) Hazardous waste treated,25.9
2019,Percentage,Deposit onto or into land and land treatment and release into water bodies,.,,,b) Hazardous waste treated,
2020,Percentage,Deposit onto or into land and land treatment and release into water bodies,,,,b) Hazardous waste treated,25.4
2021,Percentage,Deposit onto or into land and land treatment and release into water bodies,.,,,b) Hazardous waste treated,
2022,Percentage,Deposit onto or into land and land treatment and release into water bodies,,,,b) Hazardous waste treated,25.7
