Year,Type of violence,Sex,Age group,Type of physical violence,Type of sexual violence,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,a) Physical violence,,,,,,,,31.3
2020,a) Physical violence,Female,,,,,,,18.6
2020,a) Physical violence,Male,,,,,,,39.7
2020,a) Physical violence,,16 to under 25 years,,,,,,19.5
2020,a) Physical violence,,25 to under 35 years,,,,,,33.0
2020,a) Physical violence,,35 to under 45 years,,,,,,40.3
2020,a) Physical violence,,45 to under 55 years,,,,,,37.6
2020,a) Physical violence,,55 to under 65 years,,,,,,32.2
2020,a) Physical violence,,65 to under 75 years,,,,,,81.8
2020,a) Physical violence,,75 years and older,,,,,,52.7
2012,a) Physical violence,,,Physical assault,,,,,32.9
2017,a) Physical violence,,,Physical assault,,,,,36.6
2020,a) Physical violence,,,Physical assault,,|,,,33.5
2012,a) Physical violence,Female,,Physical assault,,,,,34.1
2017,a) Physical violence,Female,,Physical assault,,,,,40.0
2020,a) Physical violence,Female,,Physical assault,,|,,,21.3
2012,a) Physical violence,Male,,Physical assault,,,,,32.3
2017,a) Physical violence,Male,,Physical assault,,,,,34.6
2020,a) Physical violence,Male,,Physical assault,,|,,,40.3
2012,a) Physical violence,,,Robbery,,,,,33.6
2017,a) Physical violence,,,Robbery,,,,,32.0
2020,a) Physical violence,,,Robbery,,|,,,24.0
2012,a) Physical violence,Female,,Robbery,,,,,42.8
2017,a) Physical violence,Female,,Robbery,,,,,38.8
2020,a) Physical violence,Female,,Robbery,,|,,,13.1
2012,a) Physical violence,Male,,Robbery,,,,,28.3
2017,a) Physical violence,Male,,Robbery,,,,,27.3
2020,a) Physical violence,Male,,Robbery,,|,,,37.2
2020,b) Psychological violence,,,,,,,,3.6
2020,b) Psychological violence,Female,,,,,,,5.2
2020,b) Psychological violence,Male,,,,,,,2.8
2020,b) Psychological violence,,16 to under 25 years,,,,,,1.9
2020,b) Psychological violence,,25 to under 35 years,,,,,,3.6
2020,b) Psychological violence,,35 to under 45 years,,,,,,1.3
2020,b) Psychological violence,,45 to under 55 years,,,,,,5.6
2020,b) Psychological violence,,55 to under 65 years,,,,,,4.6
2020,b) Psychological violence,,65 to under 75 years,,,,,,26.0
2020,b) Psychological violence,,75 years and older,,,,,,59.0
2020,c) Sexual violence,,,,,,,,2.4
2020,c) Sexual violence,Female,,,,,,,2.1
2020,c) Sexual violence,Male,,,,,,,12.6
2020,c) Sexual violence,,16 to under 25 years,,,,,,1.8
2020,c) Sexual violence,,25 to under 35 years,,,,,,1.4
2020,c) Sexual violence,,35 to under 45 years,,,,,,5.6
2020,c) Sexual violence,,45 to under 55 years,,,,,,1.9
2020,c) Sexual violence,,55 to under 65 years,,,,,,0.6
2020,c) Sexual violence,,,,Physical sexual assault,,,,2.2
2020,c) Sexual violence,Female,,,Physical sexual assault,,,,1.8
2020,c) Sexual violence,Male,,,Physical sexual assault,,,,12.6
