Year,Substance,Bound,Sex,Series,Value
2010,Drugs,,,Inpatient treatment of substance use disorders,37107.0
2011,Drugs,,,Inpatient treatment of substance use disorders,36848.0
2012,Drugs,,,Inpatient treatment of substance use disorders,36166.0
2013,Drugs,,,Inpatient treatment of substance use disorders,40556.0
2014,Drugs,,,Inpatient treatment of substance use disorders,49795.0
2015,Drugs,,,Inpatient treatment of substance use disorders,51919.0
2016,Drugs,,,Inpatient treatment of substance use disorders,52621.0
2017,Drugs,,,Inpatient treatment of substance use disorders,51806.0
2018,Drugs,,,Inpatient treatment of substance use disorders,52380.0
2019,Drugs,,,Inpatient treatment of substance use disorders,53490.0
2020,Drugs,,,Inpatient treatment of substance use disorders,47082.0
2021,Drugs,,,Inpatient treatment of substance use disorders,46736.0
2010,Drugs,,Female,Inpatient treatment of substance use disorders,10451.0
2011,Drugs,,Female,Inpatient treatment of substance use disorders,10607.0
2012,Drugs,,Female,Inpatient treatment of substance use disorders,10600.0
2013,Drugs,,Female,Inpatient treatment of substance use disorders,11290.0
2014,Drugs,,Female,Inpatient treatment of substance use disorders,13280.0
2015,Drugs,,Female,Inpatient treatment of substance use disorders,13230.0
2016,Drugs,,Female,Inpatient treatment of substance use disorders,13303.0
2017,Drugs,,Female,Inpatient treatment of substance use disorders,12881.0
2018,Drugs,,Female,Inpatient treatment of substance use disorders,12858.0
2019,Drugs,,Female,Inpatient treatment of substance use disorders,12921.0
2020,Drugs,,Female,Inpatient treatment of substance use disorders,11381.0
2021,Drugs,,Female,Inpatient treatment of substance use disorders,11382.0
2010,Drugs,,Male,Inpatient treatment of substance use disorders,26656.0
2011,Drugs,,Male,Inpatient treatment of substance use disorders,26241.0
2012,Drugs,,Male,Inpatient treatment of substance use disorders,25566.0
2013,Drugs,,Male,Inpatient treatment of substance use disorders,29266.0
2014,Drugs,,Male,Inpatient treatment of substance use disorders,36515.0
2015,Drugs,,Male,Inpatient treatment of substance use disorders,38689.0
2016,Drugs,,Male,Inpatient treatment of substance use disorders,39318.0
2017,Drugs,,Male,Inpatient treatment of substance use disorders,38925.0
2018,Drugs,,Male,Inpatient treatment of substance use disorders,39522.0
2019,Drugs,,Male,Inpatient treatment of substance use disorders,40569.0
2020,Drugs,,Male,Inpatient treatment of substance use disorders,35701.0
2021,Drugs,,Male,Inpatient treatment of substance use disorders,35354.0
2010,Drugs,,Unknown,Inpatient treatment of substance use disorders,
2011,Drugs,,Unknown,Inpatient treatment of substance use disorders,
2012,Drugs,,Unknown,Inpatient treatment of substance use disorders,
2013,Drugs,,Unknown,Inpatient treatment of substance use disorders,
2014,Drugs,,Unknown,Inpatient treatment of substance use disorders,
2015,Drugs,,Unknown,Inpatient treatment of substance use disorders,
