Year,Technological intensity,Value
2010,,59
2011,,59
2012,,59
2013,,59
2014,,61
2015,,61
2016,,61
2017,,61
2018,,61
2010,Medium-high-tech,49
2011,Medium-high-tech,50
2012,Medium-high-tech,50
2013,Medium-high-tech,50
2014,Medium-high-tech,51
2015,Medium-high-tech,51
2016,Medium-high-tech,51
2017,Medium-high-tech,51
2018,Medium-high-tech,51
2010,High-tech,10
2011,High-tech,10
2012,High-tech,10
2013,High-tech,10
2014,High-tech,10
2015,High-tech,10
2016,High-tech,10
2017,High-tech,10
2018,High-tech,10
