Year,Time series,Value
2010,Annual growth rate of real GDP per capita,4.4
2011,Annual growth rate of real GDP per capita,3.9
2012,Annual growth rate of real GDP per capita,0.2
2013,Annual growth rate of real GDP per capita,0.2
2014,Annual growth rate of real GDP per capita,1.8
2015,Annual growth rate of real GDP per capita,0.6
2016,Annual growth rate of real GDP per capita,1.4
2017,Annual growth rate of real GDP per capita,2.2
2018,Annual growth rate of real GDP per capita,1.0
2019,Annual growth rate of real GDP per capita,0.3
