Year,Units,Type of Official Development Assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Commitments,,,,841.3
2011,Million EUR,Commitments,,,,1037.4
2012,Million EUR,Commitments,,,,1532.1
2013,Million EUR,Commitments,,,,1318.0
2014,Million EUR,Commitments,,,,1293.6
2015,Million EUR,Commitments,,,,1514.9
2016,Million EUR,Commitments,,,,1676.8
2017,Million EUR,Commitments,,,,2097.2
2018,Million EUR,Commitments,,,,2348.3
2019,Million EUR,Commitments,,,,2500.7
2020,Million EUR,Commitments,,,,3455.1
2021,Million EUR,Commitments,,,,4384.1
2022,Million EUR,Commitments,,,,4442.6
2023,Million EUR,Commitments,,,,2077.0
2024,Million EUR,Commitments,,,,2557.8
2010,Million EUR,Gross disbursements,,,,778.1
2011,Million EUR,Gross disbursements,,,,800.4
2012,Million EUR,Gross disbursements,,,,815.8
2013,Million EUR,Gross disbursements,,,,828.7
2014,Million EUR,Gross disbursements,,,,1094.8
2015,Million EUR,Gross disbursements,,,,1299.0
2016,Million EUR,Gross disbursements,,,,1657.0
2017,Million EUR,Gross disbursements,,,,1632.4
2018,Million EUR,Gross disbursements,,,,1681.2
2019,Million EUR,Gross disbursements,,,,1864.7
2020,Million EUR,Gross disbursements,,,,3189.8
2021,Million EUR,Gross disbursements,,,,3363.4
2022,Million EUR,Gross disbursements,,,,4472.9
2023,Million EUR,Gross disbursements,,,,2506.2
2024,Million EUR,Gross disbursements,,,,2523.6
2010,"Million USD, constant prices (2024)",Commitments,,,,1290.7
2011,"Million USD, constant prices (2024)",Commitments,,,,1572.1
2012,"Million USD, constant prices (2024)",Commitments,,,,2288.9
2013,"Million USD, constant prices (2024)",Commitments,,,,1930.5
2014,"Million USD, constant prices (2024)",Commitments,,,,1859.5
2015,"Million USD, constant prices (2024)",Commitments,,,,2140.3
2016,"Million USD, constant prices (2024)",Commitments,,,,2339.5
2017,"Million USD, constant prices (2024)",Commitments,,,,2883.7
2018,"Million USD, constant prices (2024)",Commitments,,,,3169.5
2019,"Million USD, constant prices (2024)",Commitments,,,,3308.6
2020,"Million USD, constant prices (2024)",Commitments,,,,4492.6
2021,"Million USD, constant prices (2024)",Commitments,,,,5551.2
2022,"Million USD, constant prices (2024)",Commitments,,,,5285.9
2023,"Million USD, constant prices (2024)",Commitments,,,,2316.1
2024,"Million USD, constant prices (2024)",Commitments,,,,2766.4
2010,"Million USD, constant prices (2024)",Gross disbursements,,,,1193.7
2011,"Million USD, constant prices (2024)",Gross disbursements,,,,1212.9
2012,"Million USD, constant prices (2024)",Gross disbursements,,,,1218.8
2013,"Million USD, constant prices (2024)",Gross disbursements,,,,1213.8
2014,"Million USD, constant prices (2024)",Gross disbursements,,,,1573.7
2015,"Million USD, constant prices (2024)",Gross disbursements,,,,1835.3
2016,"Million USD, constant prices (2024)",Gross disbursements,,,,2311.9
2017,"Million USD, constant prices (2024)",Gross disbursements,,,,2244.5
2018,"Million USD, constant prices (2024)",Gross disbursements,,,,2269.1
2019,"Million USD, constant prices (2024)",Gross disbursements,,,,2467.1
2020,"Million USD, constant prices (2024)",Gross disbursements,,,,4147.7
2021,"Million USD, constant prices (2024)",Gross disbursements,,,,4258.9
2022,"Million USD, constant prices (2024)",Gross disbursements,,,,5322.0
2023,"Million USD, constant prices (2024)",Gross disbursements,,,,2794.8
2024,"Million USD, constant prices (2024)",Gross disbursements,,,,2729.3
