Year,Time series,Value
2010,Proportion of total government revenue to GDP,42.06
2011,Proportion of total government revenue to GDP,42.98
2012,Proportion of total government revenue to GDP,42.69
2013,Proportion of total government revenue to GDP,43.59
2014,Proportion of total government revenue to GDP,45.1
2015,Proportion of total government revenue to GDP,45.77
2016,Proportion of total government revenue to GDP,47.05
2017,Proportion of total government revenue to GDP,47.83
2018,Proportion of total government revenue to GDP,48.93
2019,Proportion of total government revenue to GDP,49.92
