Year,Units,Type of biomass,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Million tonnes carbon,,,,,Above-ground biomass stock in forest,1571.0
2011,Million tonnes carbon,,,,,Above-ground biomass stock in forest,1584.9
2012,Million tonnes carbon,,,,,Above-ground biomass stock in forest,1598.2
2013,Million tonnes carbon,,,,,Above-ground biomass stock in forest,1611.9
2014,Million tonnes carbon,,,,,Above-ground biomass stock in forest,1636.5
2015,Million tonnes carbon,,r,,,Above-ground biomass stock in forest,1644.4
2016,Million tonnes carbon,,r,,,Above-ground biomass stock in forest,1653.5
2017,Million tonnes carbon,,r,,,Above-ground biomass stock in forest,1661.7
2018,Million tonnes carbon,,r,,,Above-ground biomass stock in forest,1666.8
2019,Million tonnes carbon,,r,,,Above-ground biomass stock in forest,1671.3
2020,Million tonnes carbon,,r,,,Above-ground biomass stock in forest,1672.9
2021,Million tonnes carbon,,r,,,Above-ground biomass stock in forest,1673.4
2022,Million tonnes carbon,,,,,Above-ground biomass stock in forest,1675.7
2010,Percentage,,.,,,Forest area located within protected areas,
2011,Percentage,,.,,,Forest area located within protected areas,
2012,Percentage,,,,,Forest area located within protected areas,0.7
2013,Percentage,,.,,,Forest area located within protected areas,
2014,Percentage,,.,,,Forest area located within protected areas,
2015,Percentage,,r,,,Forest area located within protected areas,0.5
2016,Percentage,,.,,,Forest area located within protected areas,
2017,Percentage,,.,,,Forest area located within protected areas,
2018,Percentage,,r,,,Forest area located within protected areas,0.6
2019,Percentage,,.,,,Forest area located within protected areas,
2020,Percentage,,.,,,Forest area located within protected areas,
2021,Percentage,,,,,Forest area located within protected areas,0.6
2010,Percentage,,,,,Forest area net change rate,0.1
2011,Percentage,,,,,Forest area net change rate,1.0
2012,Percentage,,,,,Forest area net change rate,0.1
2013,Percentage,,,,,Forest area net change rate,0.2
2014,Percentage,,,,,Forest area net change rate,0.2
2015,Percentage,,,,,Forest area net change rate,0.2
2016,Percentage,,|,,,Forest area net change rate,0.3
2017,Percentage,,,,,Forest area net change rate,0.4
2018,Percentage,,,,,Forest area net change rate,0.3
2019,Percentage,,,,,Forest area net change rate,0.1
2020,Percentage,,,,,Forest area net change rate,0.1
2021,Percentage,,,,,Forest area net change rate,0.1
2022,Percentage,,,,,Forest area net change rate,0.2
2023,Percentage,,,,,Forest area net change rate,0.2
2024,Percentage,,,,,Forest area net change rate,0.1
2010,Percentage,,,,,Forest area under an independently verified forest management certification scheme,67.5
2011,Percentage,,,,,Forest area under an independently verified forest management certification scheme,67.2
2012,Percentage,,,,,Forest area under an independently verified forest management certification scheme,66.9
2013,Percentage,,,,,Forest area under an independently verified forest management certification scheme,66.9
2014,Percentage,,,,,Forest area under an independently verified forest management certification scheme,66.6
2015,Percentage,,,,,Forest area under an independently verified forest management certification scheme,66.2
2016,Percentage,,,,,Forest area under an independently verified forest management certification scheme,66.7
2017,Percentage,,r,,,Forest area under an independently verified forest management certification scheme,67.0
2018,Percentage,,,,,Forest area under an independently verified forest management certification scheme,68.6
2019,Percentage,,r,,,Forest area under an independently verified forest management certification scheme,68.7
2020,Percentage,,r,,,Forest area under an independently verified forest management certification scheme,73.3
2021,Percentage,,r,,,Forest area under an independently verified forest management certification scheme,78.5
2022,Percentage,,r,,,Forest area under an independently verified forest management certification scheme,78.6
2023,Percentage,,r,,,Forest area under an independently verified forest management certification scheme,78.6
2024,Percentage,,,,,Forest area under an independently verified forest management certification scheme,79.3
2010,Million tonnes carbon,Standig wood,,,,Above-ground biomass stock in forest,1075.0
