Year,Units,Fine particulate matter,Series,Value
2010,Micrograms per m³,PM₁₀,Population weighted annual mean levels of fine particulate matter,19.6
2011,Micrograms per m³,PM₁₀,Population weighted annual mean levels of fine particulate matter,19.5
2012,Micrograms per m³,PM₁₀,Population weighted annual mean levels of fine particulate matter,17.0
2013,Micrograms per m³,PM₁₀,Population weighted annual mean levels of fine particulate matter,17.6
2014,Micrograms per m³,PM₁₀,Population weighted annual mean levels of fine particulate matter,17.1
2015,Micrograms per m³,PM₁₀,Population weighted annual mean levels of fine particulate matter,15.9
2016,Micrograms per m³,PM₁₀,Population weighted annual mean levels of fine particulate matter,15.4
2017,Micrograms per m³,PM₁₀,Population weighted annual mean levels of fine particulate matter,15.3
2018,Micrograms per m³,PM₁₀,Population weighted annual mean levels of fine particulate matter,15.4
2019,Micrograms per m³,PM₁₀,Population weighted annual mean levels of fine particulate matter,13.2
2020,Micrograms per m³,PM₁₀,Population weighted annual mean levels of fine particulate matter,12.3
2010,Micrograms per m³,PM₂.₅,Population weighted annual mean levels of fine particulate matter,13.7
2011,Micrograms per m³,PM₂.₅,Population weighted annual mean levels of fine particulate matter,13.6
2012,Micrograms per m³,PM₂.₅,Population weighted annual mean levels of fine particulate matter,11.9
2013,Micrograms per m³,PM₂.₅,Population weighted annual mean levels of fine particulate matter,12.3
2014,Micrograms per m³,PM₂.₅,Population weighted annual mean levels of fine particulate matter,12.0
2015,Micrograms per m³,PM₂.₅,Population weighted annual mean levels of fine particulate matter,11.1
2016,Micrograms per m³,PM₂.₅,Population weighted annual mean levels of fine particulate matter,10.8
2017,Micrograms per m³,PM₂.₅,Population weighted annual mean levels of fine particulate matter,10.7
2018,Micrograms per m³,PM₂.₅,Population weighted annual mean levels of fine particulate matter,10.8
2019,Micrograms per m³,PM₂.₅,Population weighted annual mean levels of fine particulate matter,9.3
2020,Micrograms per m³,PM₂.₅,Population weighted annual mean levels of fine particulate matter,8.6
2010,Million inhabitants,PM₂.₅,Population with excessive exposure to fine particulate matter,76.9
2011,Million inhabitants,PM₂.₅,Population with excessive exposure to fine particulate matter,75.8
2012,Million inhabitants,PM₂.₅,Population with excessive exposure to fine particulate matter,64.9
2013,Million inhabitants,PM₂.₅,Population with excessive exposure to fine particulate matter,71.5
2014,Million inhabitants,PM₂.₅,Population with excessive exposure to fine particulate matter,65.0
2015,Million inhabitants,PM₂.₅,Population with excessive exposure to fine particulate matter,59.3
2016,Million inhabitants,PM₂.₅,Population with excessive exposure to fine particulate matter,55.1
2017,Million inhabitants,PM₂.₅,Population with excessive exposure to fine particulate matter,54.0
2018,Million inhabitants,PM₂.₅,Population with excessive exposure to fine particulate matter,53.9
2019,Million inhabitants,PM₂.₅,Population with excessive exposure to fine particulate matter,25.3
2020,Million inhabitants,PM₂.₅,Population with excessive exposure to fine particulate matter,14.7
2010,Million inhabitants,PM₁₀,Population with excessive exposure to fine particulate matter,34.61
2011,Million inhabitants,PM₁₀,Population with excessive exposure to fine particulate matter,36.37
2012,Million inhabitants,PM₁₀,Population with excessive exposure to fine particulate matter,12.51
2013,Million inhabitants,PM₁₀,Population with excessive exposure to fine particulate matter,17.18
2014,Million inhabitants,PM₁₀,Population with excessive exposure to fine particulate matter,11.9
2015,Million inhabitants,PM₁₀,Population with excessive exposure to fine particulate matter,4.99
2016,Million inhabitants,PM₁₀,Population with excessive exposure to fine particulate matter,3.84
2017,Million inhabitants,PM₁₀,Population with excessive exposure to fine particulate matter,2.54
2018,Million inhabitants,PM₁₀,Population with excessive exposure to fine particulate matter,2.9
2019,Million inhabitants,PM₁₀,Population with excessive exposure to fine particulate matter,0.2
2020,Million inhabitants,PM₁₀,Population with excessive exposure to fine particulate matter,0.04
