Year,Time series,COMMENT_OBS_0,Value
2010,Proportion of domestic expenditures funded by national taxes,r,45.1
2011,Proportion of domestic expenditures funded by national taxes,r,49.5
2012,Proportion of domestic expenditures funded by national taxes,r,50.9
2013,Proportion of domestic expenditures funded by national taxes,r,51.5
2014,Proportion of domestic expenditures funded by national taxes,r,52.0
2015,Proportion of domestic expenditures funded by national taxes,r,52.5
2016,Proportion of domestic expenditures funded by national taxes,r,52.9
2017,Proportion of domestic expenditures funded by national taxes,r,53.4
2018,Proportion of domestic expenditures funded by national taxes,r,53.9
2019,Proportion of domestic expenditures funded by national taxes,r,52.9
2020,Proportion of domestic expenditures funded by national taxes,,45.4
2021,Proportion of domestic expenditures funded by national taxes,p,48.1
2022,Proportion of domestic expenditures funded by national taxes,p,49.6
2023,Proportion of domestic expenditures funded by national taxes,p,47.3
2010,Proportion of domestic expenditures funded by national taxes and insurance contributions,r,79.0
2011,Proportion of domestic expenditures funded by national taxes and insurance contributions,r,85.0
2012,Proportion of domestic expenditures funded by national taxes and insurance contributions,r,86.9
2013,Proportion of domestic expenditures funded by national taxes and insurance contributions,r,87.4
2014,Proportion of domestic expenditures funded by national taxes and insurance contributions,r,88.4
2015,Proportion of domestic expenditures funded by national taxes and insurance contributions,r,89.0
2016,Proportion of domestic expenditures funded by national taxes and insurance contributions,r,89.6
2017,Proportion of domestic expenditures funded by national taxes and insurance contributions,r,90.4
2018,Proportion of domestic expenditures funded by national taxes and insurance contributions,r,91.2
2019,Proportion of domestic expenditures funded by national taxes and insurance contributions,r,90.1
2020,Proportion of domestic expenditures funded by national taxes and insurance contributions,,79.8
2021,Proportion of domestic expenditures funded by national taxes and insurance contributions,p,82.1
2022,Proportion of domestic expenditures funded by national taxes and insurance contributions,p,84.0
2023,Proportion of domestic expenditures funded by national taxes and insurance contributions,p,82.3
