Year,Time series,Sex,Value
2010,Fatal occupational accidents,,1.2
2011,Fatal occupational accidents,,1.2
2012,Fatal occupational accidents,,1.2
2013,Fatal occupational accidents,,1.0
2014,Fatal occupational accidents,,1.2
2015,Fatal occupational accidents,,1.0
2016,Fatal occupational accidents,,1.0
2017,Fatal occupational accidents,,0.9
2018,Fatal occupational accidents,,0.8
2019,Fatal occupational accidents,,0.8
2010,Non-fatal occupational accidents,,1976.1
2011,Non-fatal occupational accidents,,2058.3
2012,Non-fatal occupational accidents,,1956.3
2013,Non-fatal occupational accidents,,1900.0
2014,Non-fatal occupational accidents,,1977.3
2015,Non-fatal occupational accidents,,1930.6
2016,Non-fatal occupational accidents,,1950.9
2017,Non-fatal occupational accidents,,1819.6
2018,Non-fatal occupational accidents,,1721.6
2019,Non-fatal occupational accidents,,1650.8
2010,Non-fatal occupational accidents,Female,1022.7
2011,Non-fatal occupational accidents,Female,1004.4
2012,Non-fatal occupational accidents,Female,998.3
2013,Non-fatal occupational accidents,Female,1010.1
2014,Non-fatal occupational accidents,Female,1098.4
2015,Non-fatal occupational accidents,Female,1094.0
2016,Non-fatal occupational accidents,Female,1097.3
2017,Non-fatal occupational accidents,Female,987.7
2018,Non-fatal occupational accidents,Female,920.1
2019,Non-fatal occupational accidents,Female,905.1
2010,Non-fatal occupational accidents,Male,2806.8
2011,Non-fatal occupational accidents,Male,3015.8
2012,Non-fatal occupational accidents,Male,2820.5
2013,Non-fatal occupational accidents,Male,2718.5
2014,Non-fatal occupational accidents,Male,2780.6
2015,Non-fatal occupational accidents,Male,2694.4
2016,Non-fatal occupational accidents,Male,2734.3
2017,Non-fatal occupational accidents,Male,2578.2
2018,Non-fatal occupational accidents,Male,2453.0
2019,Non-fatal occupational accidents,Male,2332.3
