Year,Time series,Availability,Value
2010,Population with (own) toilet,Yes,98.4
2011,Population with (own) toilet,Yes,99.1
2012,Population with (own) toilet,Yes,99.1
2013,Population with (own) toilet,Yes,99.9
2014,Population with (own) toilet,Yes,100.0
2015,Population with (own) toilet,Yes,99.9
2016,Population with (own) toilet,Yes,99.9
2017,Population with (own) toilet,Yes,99.9
2018,Population with (own) toilet,Yes,100.0
2019,Population with (own) toilet,Yes,99.8
2010,Population with (own) bathtub or shower,Yes,99.5
2011,Population with (own) bathtub or shower,Yes,99.9
2012,Population with (own) bathtub or shower,Yes,99.9
2013,Population with (own) bathtub or shower,Yes,100.0
2014,Population with (own) bathtub or shower,Yes,100.0
2015,Population with (own) bathtub or shower,Yes,100.0
2016,Population with (own) bathtub or shower,Yes,100.0
2017,Population with (own) bathtub or shower,Yes,100.0
2018,Population with (own) bathtub or shower,Yes,100.0
2019,Population with (own) bathtub or shower,Yes,100.0
2010,Population with (own) toilet,No,1.6
2011,Population with (own) toilet,No,0.9
2012,Population with (own) toilet,No,0.9
2013,Population with (own) toilet,No,0.1
2014,Population with (own) toilet,No,0.0
2015,Population with (own) toilet,No,0.1
2016,Population with (own) toilet,No,0.1
2017,Population with (own) toilet,No,0.1
2018,Population with (own) toilet,No,0.0
2019,Population with (own) toilet,No,0.2
2010,Population with (own) bathtub or shower,No,0.5
2011,Population with (own) bathtub or shower,No,0.1
2012,Population with (own) bathtub or shower,No,0.1
2013,Population with (own) bathtub or shower,No,0.0
2014,Population with (own) bathtub or shower,No,0.0
2015,Population with (own) bathtub or shower,No,0.0
2016,Population with (own) bathtub or shower,No,0.0
2017,Population with (own) bathtub or shower,No,0.0
2018,Population with (own) bathtub or shower,No,0.0
2019,Population with (own) bathtub or shower,No,0.0
