Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010 1Q,,,,11.85
2010 3Q,,,,12.67
2011 1Q,,,,10.95
2011 3Q,,,,12.64
2012 1Q,,,,11.16
2012 3Q,,,,10.94
2013 1Q,,,,10.16
2013 2Q,,,,9.62
2013 3Q,,,,9.01
2013 4Q,,,,9.31
2014 1Q,,,,8.37
2014 2Q,,,,8.03
2014 3Q,,,,7.76
2014 4Q,,,,8.43
2015 1Q,,,,7.43
2015 2Q,,,,7.48
2015 3Q,,,,7.32
2015 4Q,,,,7.64
2016 1Q,,,,8.12
2016 2Q,,,,8.52
2016 3Q,,,,8.56
2016 4Q,,,,7.97
2017 1Q,,,,8.23
2017 2Q,,,,7.73
2017 3Q,,,,7.57
2017 4Q,,,,7.2
2018 1Q,,,,7.47
2018 2Q,,,,7.25
2018 3Q,,,,7.31
2018 4Q,,,,7.95
2019 1Q,,,,7.59
2019 2Q,,,,7.7
2019 3Q,,,,7.64
2019 4Q,,,,7.49
2020 1Q,,,,7.7
2020 2Q,,,,7.1
2020 3Q,,,,7.47
2020 4Q,,,,7.1
2021 1Q,,,,7.26
2021 2Q,,,,6.15
2021 3Q,,,,6.37
2021 4Q,,,,6.22
2022 1Q,,,,6.1
2022 2Q,,,,5.83
2022 3Q,,,,7.02
2022 4Q,,,,5.98
2023 1Q,,,,6.13
2023 2Q,,,,5.84
2023 3Q,,,,5.62
2023 4Q,,,,5.62
2024 1Q,,,,5.8
2024 2Q,,,,5.91
2024 2Q,,,,5.78
