Year,Disease,Sex,Age group,Value
2010,a) Acute respiratory infections,,,25.88
2011,a) Acute respiratory infections,,,25.34
2012,a) Acute respiratory infections,,,24.44
2013,a) Acute respiratory infections,,,26.34
2014,a) Acute respiratory infections,,,21.5
2015,a) Acute respiratory infections,,,26.67
2016,a) Acute respiratory infections,,,23.93
2017,a) Acute respiratory infections,,,26.1
2018,a) Acute respiratory infections,,,29.12
2019,a) Acute respiratory infections,,,25.07
2020,a) Acute respiratory infections,,,21.29
2021,a) Acute respiratory infections,,,17.36
2022,a) Acute respiratory infections,,,22.6
2010,b) Diarrhoea,,,3.68
2011,b) Diarrhoea,,,5.7
2012,b) Diarrhoea,,,6.89
2013,b) Diarrhoea,,,7.1
2014,b) Diarrhoea,,,6.34
2015,b) Diarrhoea,,,7.02
2016,b) Diarrhoea,,,5.75
2017,b) Diarrhoea,,,5.42
2018,b) Diarrhoea,,,5.08
2019,b) Diarrhoea,,,4.25
2020,b) Diarrhoea,,,3.69
2021,b) Diarrhoea,,,3.35
2022,b) Diarrhoea,,,3.74
2010,c) Intestinal nematode infections,,,0.0
2011,c) Intestinal nematode infections,,,0.0
2012,c) Intestinal nematode infections,,,0.0
2013,c) Intestinal nematode infections,,,0.0
2014,c) Intestinal nematode infections,,,0.0
2015,c) Intestinal nematode infections,,,0.0
2016,c) Intestinal nematode infections,,,0.0
2017,c) Intestinal nematode infections,,,0.0
2018,c) Intestinal nematode infections,,,0.0
2019,c) Intestinal nematode infections,,,0.0
2020,c) Intestinal nematode infections,,,0.0
2021,c) Intestinal nematode infections,,,0.0
2022,c) Intestinal nematode infections,,,0.0
2010,d) Protein-energy malnutrition,,,0.3
2011,d) Protein-energy malnutrition,,,0.29
2012,d) Protein-energy malnutrition,,,0.26
2013,d) Protein-energy malnutrition,,,0.33
2014,d) Protein-energy malnutrition,,,0.33
2015,d) Protein-energy malnutrition,,,0.55
2016,d) Protein-energy malnutrition,,,0.5
2017,d) Protein-energy malnutrition,,,0.71
2018,d) Protein-energy malnutrition,,,0.75
2019,d) Protein-energy malnutrition,,,0.82
2020,d) Protein-energy malnutrition,,,0.91
2021,d) Protein-energy malnutrition,,,1.02
2022,d) Protein-energy malnutrition,,,1.05
2010,a) Acute respiratory infections,Male,,25.33
2011,a) Acute respiratory infections,Male,,24.99
2012,a) Acute respiratory infections,Male,,24.24
2013,a) Acute respiratory infections,Male,,26.26
2014,a) Acute respiratory infections,Male,,22.06
2015,a) Acute respiratory infections,Male,,27.15
2016,a) Acute respiratory infections,Male,,24.68
2017,a) Acute respiratory infections,Male,,26.14
2018,a) Acute respiratory infections,Male,,29.66
2019,a) Acute respiratory infections,Male,,26.14
2020,a) Acute respiratory infections,Male,,23.38
2021,a) Acute respiratory infections,Male,,19.52
2022,a) Acute respiratory infections,Male,,24.86
2010,b) Diarrhoea,Male,,2.82
2011,b) Diarrhoea,Male,,4.25
2012,b) Diarrhoea,Male,,5.17
2013,b) Diarrhoea,Male,,5.37
2014,b) Diarrhoea,Male,,4.75
2015,b) Diarrhoea,Male,,5.47
2016,b) Diarrhoea,Male,,4.46
2017,b) Diarrhoea,Male,,4.26
2018,b) Diarrhoea,Male,,3.98
2019,b) Diarrhoea,Male,,3.3
2020,b) Diarrhoea,Male,,2.91
2021,b) Diarrhoea,Male,,2.71
2022,b) Diarrhoea,Male,,3.12
2010,c) Intestinal nematode infections,Male,,0.0
2011,c) Intestinal nematode infections,Male,,0.0
2012,c) Intestinal nematode infections,Male,,0.0
2013,c) Intestinal nematode infections,Male,,0.0
2014,c) Intestinal nematode infections,Male,,0.0
2015,c) Intestinal nematode infections,Male,,0.0
2016,c) Intestinal nematode infections,Male,,0.0
2017,c) Intestinal nematode infections,Male,,0.0
