Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Million tonnes,,,,Domestic material consumption (DMC),1239.0
2011,Million tonnes,,,,Domestic material consumption (DMC),1322.0
2012,Million tonnes,,,,Domestic material consumption (DMC),1276.0
2013,Million tonnes,,,,Domestic material consumption (DMC),1276.0
2014,Million tonnes,,,,Domestic material consumption (DMC),1285.0
2015,Million tonnes,,,,Domestic material consumption (DMC),1243.0
2016,Million tonnes,,,,Domestic material consumption (DMC),1259.0
2017,Million tonnes,,,,Domestic material consumption (DMC),1274.0
2018,Million tonnes,,,,Domestic material consumption (DMC),1234.0
2019,Million tonnes,,,,Domestic material consumption (DMC),1191.0
2020,Million tonnes,,,,Domestic material consumption (DMC),1156.0
2021,Million tonnes,,,,Domestic material consumption (DMC),1187.0
2022,Million tonnes,,,,Domestic material consumption (DMC),1140.0
2023,Million tonnes,,,,Domestic material consumption (DMC),1024.0
2010,Tonnes per capita,,,,Domestic material consumption (DMC),15.4
2011,Tonnes per capita,,,,Domestic material consumption (DMC),16.5
2012,Tonnes per capita,,,,Domestic material consumption (DMC),15.9
2013,Tonnes per capita,,,,Domestic material consumption (DMC),15.8
2014,Tonnes per capita,,,,Domestic material consumption (DMC),15.9
2015,Tonnes per capita,,,,Domestic material consumption (DMC),15.2
2016,Tonnes per capita,,,,Domestic material consumption (DMC),15.3
2017,Tonnes per capita,,,,Domestic material consumption (DMC),15.4
2018,Tonnes per capita,,,,Domestic material consumption (DMC),14.9
2019,Tonnes per capita,,,,Domestic material consumption (DMC),14.3
2020,Tonnes per capita,,,,Domestic material consumption (DMC),13.9
2021,Tonnes per capita,,,,Domestic material consumption (DMC),14.3
2022,Tonnes per capita,r,,,Domestic material consumption (DMC),13.8
2023,Tonnes per capita,,,,Domestic material consumption (DMC),12.3
2010,2020 = 100,,,,Domestic material consumption per real GDP,119.9
2011,2020 = 100,,,,Domestic material consumption per real GDP,123.2
2012,2020 = 100,,,,Domestic material consumption per real GDP,118.4
2013,2020 = 100,,,,Domestic material consumption per real GDP,118.0
2014,2020 = 100,,,,Domestic material consumption per real GDP,116.3
2015,2020 = 100,,,,Domestic material consumption per real GDP,110.6
2016,2020 = 100,r,,,Domestic material consumption per real GDP,109.6
2017,2020 = 100,,,,Domestic material consumption per real GDP,107.9
2018,2020 = 100,r,,,Domestic material consumption per real GDP,103.3
2019,2020 = 100,r,,,Domestic material consumption per real GDP,98.7
2020,2020 = 100,,,,Domestic material consumption per real GDP,100.0
2021,2020 = 100,,,,Domestic material consumption per real GDP,98.7
2022,2020 = 100,p,,,Domestic material consumption per real GDP,93.1
2023,2020 = 100,p,,,Domestic material consumption per real GDP,84.4
