Year,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,8.3
2011,,,,,7.5
2012,,,,,7.1
2013,,,,,6.3
2014,,,,,6.4
2015,,,,,6.2
2016,,,,,6.7
2017,,,,,6.3
2018,,,,,5.9
2019,,,,,5.7
2020,,|,,,7.4
2021,,|,r,,7.7
2022,,r,,,6.9
2023,,,,,7.5
2024,,|,r,,7.5
2010,Female,,,,9.0
2011,Female,,,,8.3
2012,Female,,,,7.9
2013,Female,,,,7.0
2014,Female,,,,7.2
2015,Female,,,,7.0
2016,Female,,,,7.4
2017,Female,,,,6.7
2018,Female,,,,6.5
2019,Female,,,,6.2
2020,Female,|,,,7.6
2021,Female,|,r,,7.8
2022,Female,r,,,7.4
2023,Female,r,,,7.8
2024,Female,|,r,,7.7
2010,Male,,,,7.6
2011,Male,,,,6.7
2012,Male,,,,6.3
2013,Male,,,,5.6
2014,Male,,,,5.5
2015,Male,,,,5.4
2016,Male,,,,6.1
2017,Male,,,,5.8
2018,Male,,,,5.4
2019,Male,,,,5.2
2020,Male,|,,,7.2
2021,Male,|,r,,7.6
2022,Male,,,,6.4
2023,Male,,,,7.2
2024,Male,|,r,,7.2
