Year,Sector,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,95.1
2011,,,,,97.0
2012,,,,,98.6
2013,,,,,99.4
2014,,,,,99.8
2015,,,,,101.6
2016,,,,,100.2
2017,,,,,100.6
2018,,,,,101.4
2019,,,,,100.2
2020,,,,,87.2
2021,,,,,97.3
2022,,,,,97.1
2023,,,,,99.2
2024,,,,,99.6
2010,General services,.,,,
2011,General services,.,,,
2012,General services,,,,101.6
2013,General services,,,,99.6
2014,General services,,,,100.2
2015,General services,,,,100.5
2016,General services,,,,100.9
2017,General services,,,,99.0
2018,General services,,,,98.3
2019,General services,,,,98.0
2020,General services,,,,97.4
2021,General services,,,,96.6
2022,General services,,,,98.8
2023,General services,,,,102.4
2024,General services,,,,99.7
2010,"Education, science, research, cultural affairs",.,,,
2011,"Education, science, research, cultural affairs",.,,,
2012,"Education, science, research, cultural affairs",,,,98.2
2013,"Education, science, research, cultural affairs",,,,98.6
2014,"Education, science, research, cultural affairs",,,,97.5
2015,"Education, science, research, cultural affairs",,,,97.7
2016,"Education, science, research, cultural affairs",,,,97.8
2017,"Education, science, research, cultural affairs",,,,96.0
2018,"Education, science, research, cultural affairs",,,,95.3
2019,"Education, science, research, cultural affairs",,,,92.7
2020,"Education, science, research, cultural affairs",,,,94.5
2021,"Education, science, research, cultural affairs",,,,91.1
2022,"Education, science, research, cultural affairs",,,,87.0
2023,"Education, science, research, cultural affairs",,,,88.0
2024,"Education, science, research, cultural affairs",,,,97.3
2010,"Energy and water management, trade, services",.,,,
2011,"Energy and water management, trade, services",.,,,
2012,"Energy and water management, trade, services",,,,94.6
2013,"Energy and water management, trade, services",,,,85.0
2014,"Energy and water management, trade, services",,,,97.5
2015,"Energy and water management, trade, services",,,,98.1
2016,"Energy and water management, trade, services",,,,72.4
2017,"Energy and water management, trade, services",,,,69.5
2018,"Energy and water management, trade, services",,,,78.7
2019,"Energy and water management, trade, services",,,,78.9
2020,"Energy and water management, trade, services",,,,35.8
2021,"Energy and water management, trade, services",,,,39.0
2022,"Energy and water management, trade, services",,,,58.3
2023,"Energy and water management, trade, services",,,,70.6
2024,"Energy and water management, trade, services",,,,61.9
2010,"Food, agriculture and forestry",.,,,
2011,"Food, agriculture and forestry",.,,,
2012,"Food, agriculture and forestry",,,,95.0
2013,"Food, agriculture and forestry",,,,92.8
2014,"Food, agriculture and forestry",,,,89.8
2015,"Food, agriculture and forestry",,,,87.0
2016,"Food, agriculture and forestry",,,,84.4
2017,"Food, agriculture and forestry",,,,85.5
2018,"Food, agriculture and forestry",,,,88.1
2019,"Food, agriculture and forestry",,,,88.7
2020,"Food, agriculture and forestry",,,,71.8
2021,"Food, agriculture and forestry",,,,74.8
2022,"Food, agriculture and forestry",,,,78.8
2023,"Food, agriculture and forestry",,,,80.7
