Year,Area of law,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,(1) Overarching legal frameworks and public life,.,,,
2011,(1) Overarching legal frameworks and public life,.,,,
2012,(1) Overarching legal frameworks and public life,.,,,
2013,(1) Overarching legal frameworks and public life,.,,,
2014,(1) Overarching legal frameworks and public life,.,,,
2015,(1) Overarching legal frameworks and public life,.,,,
2016,(1) Overarching legal frameworks and public life,.,,,
2017,(1) Overarching legal frameworks and public life,.,,,
2018,(1) Overarching legal frameworks and public life,,,,70.0
2019,(1) Overarching legal frameworks and public life,.,,,
2020,(1) Overarching legal frameworks and public life,,,,70.0
2021,(1) Overarching legal frameworks and public life,.,,,
2022,(1) Overarching legal frameworks and public life,|,,,70.0
2023,(1) Overarching legal frameworks and public life,.,,,
2024,(1) Overarching legal frameworks and public life,,,,70.0
2010,(2) Violence against women,.,,,
2011,(2) Violence against women,.,,,
2012,(2) Violence against women,.,,,
2013,(2) Violence against women,.,,,
2014,(2) Violence against women,.,,,
2015,(2) Violence against women,.,,,
2016,(2) Violence against women,.,,,
2017,(2) Violence against women,.,,,
2018,(2) Violence against women,,,,83.0
2019,(2) Violence against women,.,,,
2020,(2) Violence against women,,,,83.0
2021,(2) Violence against women,.,,,
2022,(2) Violence against women,|,,,100.0
2023,(2) Violence against women,.,,,
2024,(2) Violence against women,,,,100.0
2010,(3) Employment and economic benefit,.,,,
2011,(3) Employment and economic benefit,.,,,
2012,(3) Employment and economic benefit,.,,,
2013,(3) Employment and economic benefit,.,,,
2014,(3) Employment and economic benefit,.,,,
2015,(3) Employment and economic benefit,.,,,
2016,(3) Employment and economic benefit,.,,,
2017,(3) Employment and economic benefit,.,,,
2018,(3) Employment and economic benefit,,,,100.0
2019,(3) Employment and economic benefit,.,,,
2020,(3) Employment and economic benefit,,,,100.0
2021,(3) Employment and economic benefit,.,,,
2022,(3) Employment and economic benefit,|,,,100.0
2023,(3) Employment and economic benefit,.,,,
2024,(3) Employment and economic benefit,,,,100.0
2010,(4) Marriage and family,.,,,
2011,(4) Marriage and family,.,,,
2012,(4) Marriage and family,.,,,
2013,(4) Marriage and family,.,,,
2014,(4) Marriage and family,.,,,
2015,(4) Marriage and family,.,,,
2016,(4) Marriage and family,.,,,
2017,(4) Marriage and family,.,,,
2018,(4) Marriage and family,,,,100.0
2019,(4) Marriage and family,.,,,
2020,(4) Marriage and family,,,,100.0
2021,(4) Marriage and family,.,,,
2022,(4) Marriage and family,|,,,100.0
2023,(4) Marriage and family,.,,,
2024,(4) Marriage and family,,,,100.0
