Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,,,,139.9
2011,Million EUR,,,,93.8
2012,Million EUR,,,,117.9
2013,Million EUR,,,,180.2
2014,Million EUR,,,,198.9
2015,Million EUR,,,,256.6
2016,Million EUR,,,,310.9
2017,Million EUR,,,,380.0
2018,Million EUR,,,,408.6
2019,Million EUR,,,,449.8
2020,Million EUR,,,,1494.2
2021,Million EUR,,,,1826.5
2022,Million EUR,,,,2571.7
2023,Million EUR,,,,549.2
2024,Million EUR,,,,394.3
2010,"Million USD, constant prices (2024)",,,,214.7
2011,"Million USD, constant prices (2024)",,,,142.1
2012,"Million USD, constant prices (2024)",,,,176.2
2013,"Million USD, constant prices (2024)",,,,263.9
2014,"Million USD, constant prices (2024)",,,,286.0
2015,"Million USD, constant prices (2024)",,,,362.6
2016,"Million USD, constant prices (2024)",,,,433.8
2017,"Million USD, constant prices (2024)",,,,522.5
2018,"Million USD, constant prices (2024)",,,,551.5
2019,"Million USD, constant prices (2024)",,,,595.1
2020,"Million USD, constant prices (2024)",,,,1942.9
2021,"Million USD, constant prices (2024)",,,,2312.7
2022,"Million USD, constant prices (2024)",,,,3059.9
2023,"Million USD, constant prices (2024)",,,,612.5
2024,"Million USD, constant prices (2024)",,,,426.4
