Year,Sex,Age group,Value
2010,,,9.17
2011,,,9.66
2012,,,9.59
2013,,,9.41
2014,,,10.49
2015,,,10.23
2016,,,9.74
2017,,,9.43
2018,,,9.8
2010,Female,,9.31
2011,Female,,9.91
2012,Female,,10.14
2013,Female,,9.91
2014,Female,,10.74
2015,Female,,10.34
2016,Female,,10.14
2017,Female,,9.55
2018,Female,,10.0
2010,Male,,9.02
2011,Male,,9.4
2012,Male,,9.03
2013,Male,,8.89
2014,Male,,10.23
2015,Male,,10.11
2016,Male,,9.33
2017,Male,,9.3
2018,Male,,9.6
2010,,17 years and younger,9.37
2011,,17 years and younger,7.97
2012,,17 years and younger,7.83
2013,,17 years and younger,7.18
2014,,17 years and younger,8.21
2015,,17 years and younger,7.84
2016,,17 years and younger,7.84
2017,,17 years and younger,6.88
2018,,17 years and younger,7.6
2010,,18 to under 65 years,9.8
2011,,18 to under 65 years,10.84
2012,,18 to under 65 years,10.43
2013,,18 to under 65 years,10.46
2014,,18 to under 65 years,11.55
2015,,18 to under 65 years,11.28
2016,,18 to under 65 years,10.35
2017,,18 to under 65 years,10.19
2018,,18 to under 65 years,10.42
2010,,65 years and older,6.99
2011,,65 years and older,7.34
2012,,65 years and older,8.36
2013,,65 years and older,7.99
2014,,65 years and older,9.12
2015,,65 years and older,8.98
2016,,65 years and older,9.4
2017,,65 years and older,9.19
2018,,65 years and older,9.71
