Year,Units,Age group,Value
2010,Percentage (%),under 18 years,0
2011,Percentage (%),under 18 years,0
2012,Percentage (%),under 18 years,0
2013,Percentage (%),under 18 years,0
2014,Percentage (%),under 18 years,0
2015,Percentage (%),under 18 years,0
2016,Percentage (%),under 18 years,0
2017,Percentage (%),under 18 years,0
2010,Number,under 18 years,225
2011,Number,under 18 years,213
2012,Number,under 18 years,214
2013,Number,under 18 years,256
2014,Number,under 18 years,321
2015,Number,under 18 years,880
2016,Number,under 18 years,700
2017,Number,under 18 years,318
2010,Percentage (%),Under 15 years,0
2011,Percentage (%),Under 15 years,0
2012,Percentage (%),Under 15 years,0
2013,Percentage (%),Under 15 years,0
2014,Percentage (%),Under 15 years,0
2015,Percentage (%),Under 15 years,0
2016,Percentage (%),Under 15 years,0
2017,Percentage (%),Under 15 years,0
