Year,Units,COMMENT_OBS_0,Series,Value
2010,Percentage,r,Manufacturing gross value added as a proportion of GDP,19.4
2011,Percentage,r,Manufacturing gross value added as a proportion of GDP,20.1
2012,Percentage,r,Manufacturing gross value added as a proportion of GDP,20.1
2013,Percentage,r,Manufacturing gross value added as a proportion of GDP,19.8
2014,Percentage,r,Manufacturing gross value added as a proportion of GDP,20.1
2015,Percentage,r,Manufacturing gross value added as a proportion of GDP,20.2
2016,Percentage,r,Manufacturing gross value added as a proportion of GDP,20.4
2017,Percentage,r,Manufacturing gross value added as a proportion of GDP,20.2
2018,Percentage,r,Manufacturing gross value added as a proportion of GDP,19.9
2019,Percentage,r,Manufacturing gross value added as a proportion of GDP,19.4
2020,Percentage,,Manufacturing gross value added as a proportion of GDP,18.6
2021,Percentage,p,Manufacturing gross value added as a proportion of GDP,18.7
2022,Percentage,p,Manufacturing gross value added as a proportion of GDP,18.3
2023,Percentage,p,Manufacturing gross value added as a proportion of GDP,18.5
2010,Percentage,r,Manufacturing gross value added as a proportion of total gross value added,21.7
2011,Percentage,r,Manufacturing gross value added as a proportion of total gross value added,22.6
2012,Percentage,r,Manufacturing gross value added as a proportion of total gross value added,22.5
2013,Percentage,r,Manufacturing gross value added as a proportion of total gross value added,22.2
2014,Percentage,r,Manufacturing gross value added as a proportion of total gross value added,22.6
2015,Percentage,r,Manufacturing gross value added as a proportion of total gross value added,22.6
2016,Percentage,r,Manufacturing gross value added as a proportion of total gross value added,22.9
2017,Percentage,r,Manufacturing gross value added as a proportion of total gross value added,22.6
2018,Percentage,r,Manufacturing gross value added as a proportion of total gross value added,22.2
2019,Percentage,r,Manufacturing gross value added as a proportion of total gross value added,21.7
2020,Percentage,,Manufacturing gross value added as a proportion of total gross value added,20.7
2021,Percentage,p,Manufacturing gross value added as a proportion of total gross value added,20.9
2022,Percentage,p,Manufacturing gross value added as a proportion of total gross value added,20.3
2023,Percentage,p,Manufacturing gross value added as a proportion of total gross value added,20.3
2010,EUR,r,Manufacturing gross value added per capita,6332.0
2011,EUR,r,Manufacturing gross value added per capita,6892.0
2012,EUR,r,Manufacturing gross value added per capita,6984.0
2013,EUR,r,Manufacturing gross value added per capita,7028.0
2014,EUR,r,Manufacturing gross value added per capita,7416.0
2015,EUR,r,Manufacturing gross value added per capita,7612.0
2016,EUR,r,Manufacturing gross value added per capita,7931.0
2017,EUR,r,Manufacturing gross value added per capita,8141.0
2018,EUR,r,Manufacturing gross value added per capita,8222.0
2019,EUR,r,Manufacturing gross value added per capita,8240.0
2020,EUR,,Manufacturing gross value added per capita,7731.0
2021,EUR,p,Manufacturing gross value added per capita,8262.0
2022,EUR,p,Manufacturing gross value added per capita,8623.0
2023,EUR,p,Manufacturing gross value added per capita,9180.0
