Year,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,s,,,0.03
2011,,s,,,0.03
2012,,s,,,0.03
2013,,s,,,0.03
2014,,s,,,0.03
2015,,s,,,0.03
2016,,s,,,0.03
2017,,s,,,0.03
2018,,s,,,0.03
2019,,s,,,0.03
2020,,s,,,0.02
2021,,s,,,0.02
2022,,s,,,0.02
2023,,s,,,0.03
2024,,s,,,0.03
2010,Female,s,,,0.01
2011,Female,s,,,0.01
2012,Female,s,,,0.01
2013,Female,s,,,0.01
2014,Female,s,,,0.01
2015,Female,s,,,0.01
2016,Female,s,,,0.01
2017,Female,s,,,0.01
2018,Female,s,,,0.01
2019,Female,s,,,0.01
2020,Female,s,,,0.01
2021,Female,s,,,0.01
2022,Female,.,,,
2023,Female,s,,,0.01
2024,Female,s,,,0.01
2010,Male,s,,,0.06
2011,Male,s,,,0.06
2012,Male,s,,,0.06
2013,Male,s,,,0.06
2014,Male,s,,,0.06
2015,Male,s,,,0.05
2016,Male,s,,,0.05
2017,Male,s,,,0.05
2018,Male,s,,,0.05
2019,Male,s,,,0.05
2020,Male,s,,,0.04
2021,Male,s,,,0.03
2022,Male,.,,,
2023,Male,s,,,0.04
2024,Male,s,,,0.04
