Year,Units,Time series,Value
2010,Million EUR,Commitments (ODA),0.0
2011,Million EUR,Commitments (ODA),0.0
2012,Million EUR,Commitments (ODA),0.0
2013,Million EUR,Commitments (ODA),0.0
2014,Million EUR,Commitments (ODA),0.0
2015,Million EUR,Commitments (ODA),0.0
2016,Million EUR,Commitments (ODA),9.0
2017,Million EUR,Commitments (ODA),0.0
2018,Million EUR,Commitments (ODA),0.0
2019,Million EUR,Commitments (ODA),3.3
2020,Million EUR,Commitments (ODA),26.5
2021,Million EUR,Commitments (ODA),25.46
2010,"Million USD, constant prices (2021)",Commitments (ODA),0.0
2011,"Million USD, constant prices (2021)",Commitments (ODA),0.0
2012,"Million USD, constant prices (2021)",Commitments (ODA),0.0
2013,"Million USD, constant prices (2021)",Commitments (ODA),0.0
2014,"Million USD, constant prices (2021)",Commitments (ODA),0.0
2015,"Million USD, constant prices (2021)",Commitments (ODA),0.0
2016,"Million USD, constant prices (2021)",Commitments (ODA),11.81
2017,"Million USD, constant prices (2021)",Commitments (ODA),0.0
2018,"Million USD, constant prices (2021)",Commitments (ODA),0.0
2019,"Million USD, constant prices (2021)",Commitments (ODA),4.09
2020,"Million USD, constant prices (2021)",Commitments (ODA),32.3
2021,"Million USD, constant prices (2021)",Commitments (ODA),30.11
2010,Million EUR,Gross disbursements (ODA),0.0
2011,Million EUR,Gross disbursements (ODA),0.0
2012,Million EUR,Gross disbursements (ODA),0.0
2013,Million EUR,Gross disbursements (ODA),0.0
2014,Million EUR,Gross disbursements (ODA),0.0
2015,Million EUR,Gross disbursements (ODA),0.0
2016,Million EUR,Gross disbursements (ODA),9.0
2017,Million EUR,Gross disbursements (ODA),0.0
2018,Million EUR,Gross disbursements (ODA),0.0
2019,Million EUR,Gross disbursements (ODA),0.03
2020,Million EUR,Gross disbursements (ODA),24.75
2021,Million EUR,Gross disbursements (ODA),25.0
2010,"Million USD, constant prices (2021)",Gross disbursements (ODA),0.0
2011,"Million USD, constant prices (2021)",Gross disbursements (ODA),0.0
2012,"Million USD, constant prices (2021)",Gross disbursements (ODA),0.0
2013,"Million USD, constant prices (2021)",Gross disbursements (ODA),0.0
2014,"Million USD, constant prices (2021)",Gross disbursements (ODA),0.0
2015,"Million USD, constant prices (2021)",Gross disbursements (ODA),0.0
2016,"Million USD, constant prices (2021)",Gross disbursements (ODA),11.81
2017,"Million USD, constant prices (2021)",Gross disbursements (ODA),0.0
2018,"Million USD, constant prices (2021)",Gross disbursements (ODA),0.0
2019,"Million USD, constant prices (2021)",Gross disbursements (ODA),0.04
2020,"Million USD, constant prices (2021)",Gross disbursements (ODA),30.16
2021,"Million USD, constant prices (2021)",Gross disbursements (ODA),29.56
